,#,Наименование,Регистрационный номер,Дата регистрации,Возраст компании,Дата ликвидации,Статус,Код налогоплательщика,Регион регистрации,Вид деятельности/отрасль,Важная информация,"2015, Активы  всего, ед. RUB","2015, Валовая прибыль (убыток), ед. RUB","2015, Валовая рентабельность затрат, %","2015, Валовая рентабельность коммерческих и управленческих расходов, %","2015, Валовая рентабельность, %","2015, Внеоборотные активы, ед. RUB","2015, Выручка, ед. RUB","2015, Дебиторская задолженность, ед. RUB","2015, Денежные средства и денежные эквиваленты, ед. RUB","2015, Добавочный капитал, ед. RUB","2015, Долгосрочные обязательства, ед. RUB","2015, Долгосрочные финансовые вложения, ед. RUB","2015, Заёмные средства (долгосрочные), ед. RUB","2015, Заёмные средства (краткосрочные), ед. RUB","2015, Запасы, ед. RUB","2015, Капитал и резервы, ед. RUB","2015, Коммерческие расходы, ед. RUB","2015, Коэффициент абсолютной ликвидности, %","2015, Коэффициент быстрой ликвидности, %","2015, Коэффициент концентрации собственного капитала (автономии), %","2015, Коэффициент маневренности собственных средств, %","2015, Коэффициент обеспеченности собственными оборотными средствами, %","2015, Коэффициент соотношения заемных и собственных средств, %","2015, Коэффициент текущей ликвидности, %","2015, Краткосрочные обязательства, ед. RUB","2015, Краткосрочные финансовые вложения, ед. RUB","2015, Кредиторская задолженность, ед. RUB","2015, Налог на прибыль, ед. RUB","2015, Нематериальные активы, ед. RUB","2015, Нераспределенная прибыль (непокрытый убыток), ед. RUB","2015, Оборотные активы, ед. RUB","2015, Оплата процентов по долговым обязательствам, ед. RUB","2015, Основные средства , ед. RUB","2015, Получение дивидендов, процентов, ед. RUB","2015, Получение кредитов и займов, ед. RUB","2015, Поступление денежных вкладов собственников (участников), ед. RUB","2015, Поступления арендных, лицензионных, комиссионных платежей, роялти, ед. RUB","2015, Поступления от возврата займов, продажи долговых ценных бумаг, ед. RUB","2015, Поступления от выпуска акций, увеличения долей участия, ед. RUB","2015, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., ед. RUB","2015, Поступления от инвестиционных операций, ед. RUB","2015, Поступления от перепродажи финансовых вложений, ед. RUB","2015, Поступления от продаж, ед. RUB","2015, Поступления от текущих операций, ед. RUB","2015, Поступления от финансовых операций, ед. RUB","2015, Прибыль (убыток) до налогообложения , ед. RUB","2015, Прибыль (убыток) от продажи, ед. RUB","2015, Прибыль от приносящей доход деятельности, ед. RUB","2015, Приобретение акций (долей участия), ед. RUB","2015, Приобретение внеоборотных активов, ед. RUB","2015, Приобретение долговых ценных бумаг, предоставление займов, ед. RUB","2015, Приобретение основных средств, инвентаря и иного имущества, ед. RUB","2015, Продажа акций других организаций, ед. RUB","2015, Продажа внеоборотных активов, ед. RUB","2015, Проценты к получению, ед. RUB","2015, Проценты к уплате, ед. RUB","2015, Прочие внеоборотные активы, ед. RUB","2015, Прочие долгосрочные обязательства, ед. RUB","2015, Прочие доходы, ед. RUB","2015, Прочие расходы, ед. RUB","2015, Расходы на содержание аппарата управления, ед. RUB","2015, Расходы на целевые мероприятия, ед. RUB","2015, Резервный капитал, ед. RUB","2015, Рентабельность активов (ROA), %","2015, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %","2015, Рентабельность затрат, %","2015, Рентабельность капитала (ROE), %","2015, Рентабельность продаж , %","2015, Себестоимость продаж, ед. RUB","2015, Текущий налог на прибыль, ед. RUB","2015, Управленческие расходы, ед. RUB","2015, Чистая норма прибыли (ROS), %","2015, Чистая прибыль (убыток), ед. RUB","2015, Чистые активы, ед. RUB"
0,1,"2С, ООО",1100265000395.0,2010-04-26,7.5,,Действующая,265034781.0,Башкортостан (Республика),Предоставление услуг в области добычи нефти и природного газа,,94251000.0,720000.0,0.009,,0.009,8634000.0,80410000.0,64775000.0,5097000.0,,,,,,15709000.0,9724000.0,,0.0603,0.827,0.1032,0.1121,0.0127,8.6926,1.0129,84527000.0,,63870000.0,,,9714000.0,85617000.0,,8634000.0,,,,,,,,,,,,,710000.0,720000.0,,,,,,,,,,,,29000.0,39000.0,,,,0.006,0.0081,0.009,0.0602,0.009,79690000.0,142000.0,,0.0071,568000.0,9724000.0
1,2,"464 КНИ, ООО",1027102871180.0,2002-09-30,15.0,,Действующая,7124021704.0,Тульская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,185803000.0,185904000.0,0.8256,1.1983,0.4522,112217000.0,411068000.0,11596000.0,1148000.0,20000000.0,11314000.0,4755000.0,,,60760000.0,27315000.0,101691000.0,0.0078,0.0871,0.147,-3.1083,-1.1538,5.8022,0.5,147174000.0,,140486000.0,,,1747000.0,73586000.0,450000.0,103550000.0,,40000000.0,,,,,,,,441916000.0,441916000.0,40000000.0,29474000.0,30762000.0,,248000.0,25278000.0,,,,,3000.0,450000.0,,,11128000.0,11969000.0,,,58000.0,0.1399,0.1749,0.0809,1.495,0.0748,225164000.0,,53451000.0,0.0568,23368000.0,27315000.0
2,3,"А-СЕРВИС, ООО",1072225011935.0,2007-09-28,10.0,,Действующая,2225088880.0,Алтайский край,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,14391000.0,6042000.0,0.62,1.13,0.3827,7641000.0,15787000.0,4609000.0,43000.0,,,,,5483000.0,2098000.0,2474000.0,4940000.0,0.0036,0.3904,0.1719,-2.0885,-0.7655,4.8169,0.5664,11917000.0,,6434000.0,,,2464000.0,6750000.0,,7641000.0,,,,,,,,,,,,,687000.0,695000.0,,,,,,,,6000.0,,,,,14000.0,,,,0.039,0.0484,0.0461,0.2491,0.044,9745000.0,137000.0,407000.0,0.0347,548000.0,2474000.0
3,4,"А-СТАРТ, ООО",1125905005005.0,2012-06-06,5.5,,Действующая,5905292013.0,Пермский край,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,13117000.0,555000.0,0.0384,,0.037,5957000.0,14992000.0,1961000.0,26000.0,,45000.0,,45000.0,,4100000.0,887000.0,,0.0902,0.2511,0.0676,-5.7159,-0.7081,13.788,0.5876,12185000.0,1073000.0,12185000.0,,,877000.0,7160000.0,,5957000.0,,,,,,,,,,,,,516000.0,555000.0,,,,,,,,,,,,178000.0,217000.0,,,,0.0344,0.0462,0.0384,0.6517,0.037,14437000.0,80000.0,,0.0291,436000.0,887000.0
4,5,"А. С. АРГУТ, ООО",1174205016292.0,1999-09-13,18.0,,Действующая,4223119110.0,Кемеровская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,24191000.0,5776000.0,0.1872,2.9789,0.1577,12825000.0,36634000.0,7290000.0,3065000.0,,,,,3994000.0,513000.0,2459000.0,1000.0,0.141,0.4994,0.1016,-4.2155,-0.912,8.8377,0.523,21732000.0,,17738000.0,,,2451000.0,11366000.0,,12525000.0,,,,,,,,,,,,,3605000.0,3837000.0,,,,,,,,,144000.0,,,,88000.0,,,,0.2405,0.1888,0.117,2.366,0.1047,30858000.0,690000.0,1938000.0,0.0794,2909000.0,2459000.0
5,6,"А/С ДАУРИЯ, ПК",1027501156880.0,1993-01-21,25.0,,Действующая,7507000811.0,Забайкальский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,831224000.0,466333000.0,0.3416,2.1794,0.2546,429300000.0,1831393000.0,121859000.0,47424000.0,,131521000.0,64620000.0,120143000.0,57494000.0,30778000.0,548680000.0,,1.592,2.4575,0.6601,0.2176,0.297,0.515,2.6613,151023000.0,193000000.0,93529000.0,16702000.0,114519000.0,548574000.0,401924000.0,39301000.0,242880000.0,17449000.0,66513000.0,,141000.0,100000.0,10000.0,,17549000.0,,1814519000.0,1893294000.0,66523000.0,181630000.0,252363000.0,,,,2400000.0,,,,17449000.0,39291000.0,7258000.0,,1491000.0,50382000.0,,,,0.1737,0.4948,0.1598,0.2873,0.1378,1365060000.0,41407000.0,213970000.0,0.0753,137825000.0,548680000.0
6,7,"А/С ЗАПАДНАЯ, ООО",1023800734462.0,1996-07-08,21.5,,Действующая,3802005383.0,Иркутская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,376000.0,268000.0,20.6154,1.1308,0.9537,220000.0,281000.0,60000.0,96000.0,,,,,,,363000.0,,7.3846,12.0,0.9654,0.3939,0.9167,0.0358,12.0,13000.0,,13000.0,,,-19150000.0,156000.0,,139000.0,,,,,,,,,,,,,12000.0,31000.0,,,,,,,,,,,,,19000.0,,,,0.0243,0.1558,0.124,0.0251,0.1103,13000.0,,237000.0,0.032,9000.0,363000.0
7,8,"А/С НИМАН, ООО",1032700160107.0,1994-08-01,23.5,,Действующая,2710006441.0,Хабаровский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,227302000.0,232253000.0,0.3213,4.6347,0.2432,113828000.0,955002000.0,71622000.0,9499000.0,,574000.0,250000.0,,80715000.0,24482000.0,113915000.0,,0.0842,0.7888,0.5012,0.0008,0.0008,0.9954,1.0059,112813000.0,,32098000.0,,1225000.0,109885000.0,113474000.0,,112353000.0,,111666000.0,,,,,,,,840763000.0,863173000.0,111666000.0,131646000.0,182141000.0,,,,,,,,,,,,6905000.0,57400000.0,,,,0.3746,0.8687,0.2357,1.3643,0.1907,722749000.0,10838000.0,50112000.0,0.1095,104558000.0,113915000.0
8,9,"А/С СЕВЕР, ООО",1020300523297.0,1992-12-07,25.0,,Действующая,302000328.0,Бурятия (Республика),"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,85158000.0,57312000.0,0.1426,4.5515,0.1248,13494000.0,459082000.0,13725000.0,25610000.0,,886000.0,5000.0,,,26911000.0,77880000.0,,4.0144,7.0014,0.9145,0.8267,0.8984,0.0935,11.2115,6392000.0,50000.0,6392000.0,302000.0,12000.0,77517000.0,71664000.0,,13465000.0,,59492000.0,,,248050000.0,,,248050000.0,,474409000.0,475032000.0,59492000.0,38167000.0,44720000.0,,,,248050000.0,,,,480000.0,6683000.0,,,8693000.0,9043000.0,,,,0.4391,0.8264,0.1079,0.4853,0.0974,401770000.0,6921000.0,12592000.0,0.0663,30416000.0,77880000.0
9,10,"А/С ЧУКОТКА, ООО",1038700020864.0,1994-11-23,23.0,,Действующая,8706004315.0,Чукотский автономный округ,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,1123056000.0,25115000.0,0.0631,,0.0593,336276000.0,423183000.0,72342000.0,28153000.0,388291000.0,,1000000.0,,,566531000.0,1094050000.0,,1.4622,7.5932,0.9742,0.6926,0.9631,0.0265,27.1247,29006000.0,14259000.0,25430000.0,44045000.0,,704609000.0,786780000.0,,224151000.0,,,,,21420000.0,,,28541000.0,,740986000.0,742145000.0,,22937000.0,25115000.0,,,2868000.0,30000000.0,,,6780000.0,891000.0,,,,66980000.0,70049000.0,,,150000.0,0.0137,0.0291,0.0631,0.0143,0.0593,398068000.0,7482000.0,,0.0366,15505000.0,1094050000.0
