,#,Наименование,Регистрационный номер,Дата регистрации,Возраст компании,Дата ликвидации,Статус,Код налогоплательщика,Регион регистрации,Вид деятельности/отрасль,Важная информация,"2008, Активы  всего, ед. RUB","2008, Валовая прибыль (убыток), ед. RUB","2008, Валовая рентабельность затрат, %","2008, Валовая рентабельность коммерческих и управленческих расходов, %","2008, Валовая рентабельность, %","2008, Внеоборотные активы, ед. RUB","2008, Выручка, ед. RUB","2008, Дебиторская задолженность, ед. RUB","2008, Денежные средства и денежные эквиваленты, ед. RUB","2008, Добавочный капитал, ед. RUB","2008, Долгосрочные обязательства, ед. RUB","2008, Долгосрочные финансовые вложения, ед. RUB","2008, Заёмные средства (долгосрочные), ед. RUB","2008, Заёмные средства (краткосрочные), ед. RUB","2008, Запасы, ед. RUB","2008, Капитал и резервы, ед. RUB","2008, Коммерческие расходы, ед. RUB","2008, Коэффициент абсолютной ликвидности, %","2008, Коэффициент быстрой ликвидности, %","2008, Коэффициент концентрации собственного капитала (автономии), %","2008, Коэффициент маневренности собственных средств, %","2008, Коэффициент обеспеченности собственными оборотными средствами, %","2008, Коэффициент соотношения заемных и собственных средств, %","2008, Коэффициент текущей ликвидности, %","2008, Краткосрочные обязательства, ед. RUB","2008, Краткосрочные финансовые вложения, ед. RUB","2008, Кредиторская задолженность, ед. RUB","2008, Налог на прибыль, ед. RUB","2008, Нематериальные активы, ед. RUB","2008, Нераспределенная прибыль (непокрытый убыток), ед. RUB","2008, Оборотные активы, ед. RUB","2008, Оплата процентов по долговым обязательствам, ед. RUB","2008, Основные средства , ед. RUB","2008, Получение дивидендов, процентов, ед. RUB","2008, Получение кредитов и займов, ед. RUB","2008, Поступление денежных вкладов собственников (участников), ед. RUB","2008, Поступления арендных, лицензионных, комиссионных платежей, роялти, ед. RUB","2008, Поступления от возврата займов, продажи долговых ценных бумаг, ед. RUB","2008, Поступления от выпуска акций, увеличения долей участия, ед. RUB","2008, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., ед. RUB","2008, Поступления от инвестиционных операций, ед. RUB","2008, Поступления от перепродажи финансовых вложений, ед. RUB","2008, Поступления от продаж, ед. RUB","2008, Поступления от текущих операций, ед. RUB","2008, Поступления от финансовых операций, ед. RUB","2008, Прибыль (убыток) до налогообложения , ед. RUB","2008, Прибыль (убыток) от продажи, ед. RUB","2008, Прибыль от приносящей доход деятельности, ед. RUB","2008, Приобретение акций (долей участия), ед. RUB","2008, Приобретение внеоборотных активов, ед. RUB","2008, Приобретение долговых ценных бумаг, предоставление займов, ед. RUB","2008, Приобретение основных средств, инвентаря и иного имущества, ед. RUB","2008, Продажа акций других организаций, ед. RUB","2008, Продажа внеоборотных активов, ед. RUB","2008, Проценты к получению, ед. RUB","2008, Проценты к уплате, ед. RUB","2008, Прочие внеоборотные активы, ед. RUB","2008, Прочие долгосрочные обязательства, ед. RUB","2008, Прочие доходы, ед. RUB","2008, Прочие расходы, ед. RUB","2008, Расходы на содержание аппарата управления, ед. RUB","2008, Расходы на целевые мероприятия, ед. RUB","2008, Резервный капитал, ед. RUB","2008, Рентабельность активов (ROA), %","2008, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %","2008, Рентабельность затрат, %","2008, Рентабельность капитала (ROE), %","2008, Рентабельность продаж , %","2008, Себестоимость продаж, ед. RUB","2008, Текущий налог на прибыль, ед. RUB","2008, Управленческие расходы, ед. RUB","2008, Чистая норма прибыли (ROS), %","2008, Чистая прибыль (убыток), ед. RUB","2008, Чистые активы, ед. RUB"
0,1,"464 КНИ, ООО",1027102871180.0,2002-09-30,15.0,,Действующая,7124021704.0,Тульская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,34308000.0,31970000.0,0.4129,0.9681,0.2922,11527000.0,109394000.0,4542000.0,394000.0,,,,,560000.0,15706000.0,22559000.0,,0.0022,0.6022,0.6575,0.489,0.4843,0.5208,1.939,11749000.0,2139000.0,11189000.0,,,17001000.0,22781000.0,,11250000.0,,,,,,,,,,,,,2338000.0,-1052000.0,,,,,,,,3000.0,,,,5643000.0,2256000.0,,,58000.0,0.064,-0.0375,-0.0095,0.0944,-0.0096,77424000.0,,33022000.0,0.0185,2028000.0,22559000.0
1,2,"50 ЛЕТ ОКТЯБРЯ, ООО",1024901350473.0,1999-03-09,18.5,,Действующая,4908001599.0,Магаданская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,2520000.0,825000.0,0.2648,,0.2093,46000.0,3941000.0,1705000.0,20000.0,1850000.0,,,,,,-27379000.0,,0.0,0.0827,-10.8647,1.0017,-11.0853,-1.092,0.0827,29899000.0,10000.0,23960000.0,,13000.0,-29253000.0,2474000.0,,33000.0,,,,,,,,,,,,,825000.0,825000.0,,,,,,,,,,,,,0.0,,,,0.2549,0.6921,0.2648,-0.0226,0.2093,3116000.0,198000.0,,0.1591,627000.0,-27379000.0
2,3,"STONE CAPITAL, ООО",1036605194614.0,1994-04-01,23.5,,Действующая,6664007389.0,Свердловская область,"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",,88320000.0,680000.0,0.0202,,0.0198,45868000.0,34325000.0,5017000.0,46000.0,6967000.0,,1000.0,,51514000.0,37229000.0,29268000.0,,0.0,0.0884,0.3314,-0.5672,-0.391,2.0176,0.7189,59052000.0,,7538000.0,,2000.0,-12013000.0,42452000.0,,38059000.0,,,,,,,,,,,,,-2076000.0,680000.0,,,,,,,,,2456000.0,,,12709000.0,13009000.0,,,,-0.0044,0.0085,0.0202,-0.0121,0.0198,33645000.0,18000.0,,-0.0105,-359000.0,29268000.0
3,4,"А-ВЕНЧУРС, ООО",1067757850050.0,2006-10-12,11.0,,Действующая,7705758170.0,Москва,Предоставление прочих услуг в области добычи нефти и природного газа,,11391000.0,85000.0,,0.0116,1.0,3884000.0,85000.0,6336000.0,808000.0,,,,,,222000.0,11083000.0,,0.0262,23.6526,0.973,0.6496,0.959,0.0278,24.3734,308000.0,,308000.0,,,11071000.0,7507000.0,,421000.0,,,,,,,,,,,,,-7967000.0,-7261000.0,,,,,,,,,,285000.0,,,706000.0,,,2000.0,-0.4228,-11.2924,-0.9884,-0.4437,-85.4235,,,7346000.0,-78.1529,-6643000.0,11083000.0
4,5,"А/С ДАУРИЯ, ПК",1027501156880.0,1993-01-21,25.0,,Действующая,7507000811.0,Забайкальский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,170760000.0,81688000.0,0.2309,3.1341,0.1876,66405000.0,435440000.0,73825000.0,22552000.0,16016000.0,37927000.0,1385000.0,37055000.0,30399000.0,7946000.0,81473000.0,,0.0044,1.8771,0.4771,0.1849,0.1444,1.0959,2.0318,51360000.0,,20961000.0,,120000.0,65360000.0,104355000.0,,64669000.0,,,,,,,,,,,,,47102000.0,55624000.0,,,,,,,,352000.0,5470000.0,,,1635000.0,5039000.0,,,,0.252,0.4414,0.1464,0.5534,0.1277,353752000.0,11843000.0,26064000.0,0.0808,35163000.0,81473000.0
5,6,"А/С КУРЧАТОВА, ООО",1024900785238.0,1996-01-11,22.0,,Ликвидируется,4906001106.0,Магаданская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)","Находится в стадии ликвидации от 07.12.2015, Решение о признании должника банкротом и открытии конкурсного производства от 06.06.2015",34717000.0,11800000.0,0.1342,,0.1183,30375000.0,99706000.0,4221000.0,5000.0,3654000.0,,,,,106000.0,2472000.0,,0.0,0.1314,0.0712,-11.2876,-6.4263,13.0441,0.1347,32245000.0,,32245000.0,,,-3642000.0,4342000.0,,30375000.0,,,,,,,,,,,,,8894000.0,11800000.0,,,,,,,,,3634000.0,,,2095000.0,1367000.0,,,,0.1435,0.3871,0.1342,-14.6287,0.1183,87906000.0,3650000.0,,0.0476,4747000.0,2472000.0
6,7,"А/С НИМАН, ООО",1032700160107.0,1994-08-01,23.5,,Действующая,2710006441.0,Хабаровский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,125471000.0,25404000.0,0.0611,2.0252,0.0576,63283000.0,441271000.0,39736000.0,1169000.0,,,100000.0,,,1400000.0,58409000.0,,0.0027,0.9064,0.4655,-0.0834,-0.0784,1.1481,0.9273,67062000.0,17162000.0,67062000.0,,6721000.0,54379000.0,62188000.0,,40843000.0,,,,,,,,,,,,,2038000.0,12860000.0,,,,,,,,,6145000.0,,,140215000.0,144892000.0,,,,0.0023,0.2267,0.03,0.0058,0.0291,415867000.0,1795000.0,12544000.0,0.0006,243000.0,58409000.0
7,8,"А/С СЕВЕР, ООО",1020300523297.0,1992-12-07,25.0,,Действующая,302000328.0,Бурятия (Республика),"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,77871000.0,4949000.0,0.0655,0.7989,0.0615,1969000.0,80450000.0,13526000.0,1237000.0,351000.0,101000.0,,66000.0,30000000.0,15356000.0,26137000.0,873000.0,0.0091,1.1726,0.3356,0.9247,0.3184,1.9793,1.47,51633000.0,45677000.0,21633000.0,,66000.0,25777000.0,75902000.0,,1348000.0,,,,,,,,,,,,,-2995000.0,-1246000.0,,,,,,,,1000.0,1114000.0,,,174000.0,810000.0,,,,-0.0318,-0.0433,-0.0153,-0.0906,-0.0155,75501000.0,27000.0,5322000.0,-0.0306,-2462000.0,26137000.0
8,9,"А/С ЧУКОТКА, ООО",1038700020864.0,1994-11-23,23.0,,Действующая,8706004315.0,Чукотский автономный округ,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,1271465000.0,310188000.0,0.2047,5.4664,0.1699,430977000.0,1825325000.0,535377000.0,147857000.0,388291000.0,2651000.0,,2651000.0,,40020000.0,927395000.0,4425000.0,0.0045,2.3445,0.7294,0.5353,0.5906,0.371,2.4617,341419000.0,7281000.0,176557000.0,,,537954000.0,840488000.0,,230557000.0,,,,,,,,,,,,,250429000.0,253444000.0,,,,,,,,1542000.0,52000.0,75513000.0,,8427000.0,12932000.0,,,150000.0,0.1576,0.3457,0.1612,0.2286,0.1388,1515137000.0,62440000.0,52319000.0,0.103,187989000.0,927395000.0
9,10,"АБАГУРСКИЙ КАРЬЕР, ООО",1024201822468.0,1997-05-26,20.5,,Действующая,4219006843.0,Кемеровская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,47275000.0,42438000.0,1.1566,1.9892,0.5363,10365000.0,79130000.0,10253000.0,3507000.0,427000.0,,,,,22161000.0,36140000.0,4745000.0,,1.3246,0.7645,0.7132,0.6983,0.3081,3.3148,11135000.0,,11135000.0,,,35704000.0,36910000.0,,7911000.0,,,,,,,,,,,,,14460000.0,21104000.0,,,,,,,,,,,,243000.0,6887000.0,,,,,0.4464,0.3637,0.2339,0.2667,36692000.0,5749000.0,16589000.0,0.1101,8711000.0,36140000.0
