,#,Наименование,Регистрационный номер,Дата регистрации,Возраст компании,Дата ликвидации,Статус,Код налогоплательщика,Регион регистрации,Вид деятельности/отрасль,Важная информация,"2011, Активы  всего, ед. RUB","2011, Валовая прибыль (убыток), ед. RUB","2011, Валовая рентабельность затрат, %","2011, Валовая рентабельность коммерческих и управленческих расходов, %","2011, Валовая рентабельность, %","2011, Внеоборотные активы, ед. RUB","2011, Выручка, ед. RUB","2011, Дебиторская задолженность, ед. RUB","2011, Денежные средства и денежные эквиваленты, ед. RUB","2011, Добавочный капитал, ед. RUB","2011, Долгосрочные обязательства, ед. RUB","2011, Долгосрочные финансовые вложения, ед. RUB","2011, Заёмные средства (долгосрочные), ед. RUB","2011, Заёмные средства (краткосрочные), ед. RUB","2011, Запасы, ед. RUB","2011, Капитал и резервы, ед. RUB","2011, Коммерческие расходы, ед. RUB","2011, Коэффициент абсолютной ликвидности, %","2011, Коэффициент быстрой ликвидности, %","2011, Коэффициент концентрации собственного капитала (автономии), %","2011, Коэффициент маневренности собственных средств, %","2011, Коэффициент обеспеченности собственными оборотными средствами, %","2011, Коэффициент соотношения заемных и собственных средств, %","2011, Коэффициент текущей ликвидности, %","2011, Краткосрочные обязательства, ед. RUB","2011, Краткосрочные финансовые вложения, ед. RUB","2011, Кредиторская задолженность, ед. RUB","2011, Налог на прибыль, ед. RUB","2011, Нематериальные активы, ед. RUB","2011, Нераспределенная прибыль (непокрытый убыток), ед. RUB","2011, Оборотные активы, ед. RUB","2011, Оплата процентов по долговым обязательствам, ед. RUB","2011, Основные средства , ед. RUB","2011, Получение дивидендов, процентов, ед. RUB","2011, Получение кредитов и займов, ед. RUB","2011, Поступление денежных вкладов собственников (участников), ед. RUB","2011, Поступления арендных, лицензионных, комиссионных платежей, роялти, ед. RUB","2011, Поступления от возврата займов, продажи долговых ценных бумаг, ед. RUB","2011, Поступления от выпуска акций, увеличения долей участия, ед. RUB","2011, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., ед. RUB","2011, Поступления от инвестиционных операций, ед. RUB","2011, Поступления от перепродажи финансовых вложений, ед. RUB","2011, Поступления от продаж, ед. RUB","2011, Поступления от текущих операций, ед. RUB","2011, Поступления от финансовых операций, ед. RUB","2011, Прибыль (убыток) до налогообложения , ед. RUB","2011, Прибыль (убыток) от продажи, ед. RUB","2011, Прибыль от приносящей доход деятельности, ед. RUB","2011, Приобретение акций (долей участия), ед. RUB","2011, Приобретение внеоборотных активов, ед. RUB","2011, Приобретение долговых ценных бумаг, предоставление займов, ед. RUB","2011, Приобретение основных средств, инвентаря и иного имущества, ед. RUB","2011, Продажа акций других организаций, ед. RUB","2011, Продажа внеоборотных активов, ед. RUB","2011, Проценты к получению, ед. RUB","2011, Проценты к уплате, ед. RUB","2011, Прочие внеоборотные активы, ед. RUB","2011, Прочие долгосрочные обязательства, ед. RUB","2011, Прочие доходы, ед. RUB","2011, Прочие расходы, ед. RUB","2011, Расходы на содержание аппарата управления, ед. RUB","2011, Расходы на целевые мероприятия, ед. RUB","2011, Резервный капитал, ед. RUB","2011, Рентабельность активов (ROA), %","2011, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %","2011, Рентабельность затрат, %","2011, Рентабельность капитала (ROE), %","2011, Рентабельность продаж , %","2011, Себестоимость продаж, ед. RUB","2011, Текущий налог на прибыль, ед. RUB","2011, Управленческие расходы, ед. RUB","2011, Чистая норма прибыли (ROS), %","2011, Чистая прибыль (убыток), ед. RUB","2011, Чистые активы, ед. RUB"
0,1,"436 КНИ, ООО",1114704000201.0,2011-01-26,7.0,2014-03-25,Недействующая,4704086019.0,Ленинградская область,Добыча и первичная обработка камня для памятников и строительства,"Ликвидировано от 25.03.2014, Сообщения о принятии решения о ликвидации от 28.11.2012",1008186000.0,53376000.0,0.2954,1.2097,0.228,907897000.0,234067000.0,54976000.0,138000.0,2198000.0,3724000.0,,,3000000.0,45175000.0,948239000.0,17214000.0,0.0,0.9803,0.9405,0.0425,0.4023,0.0632,1.7838,56223000.0,,48219000.0,,,-13777000.0,100289000.0,,904791000.0,,,,,,,,,,,,,-5164000.0,9252000.0,,,,,,,,,,1946000.0,,10590000.0,25006000.0,,,,-0.0273,0.0092,0.0412,-0.0291,0.0395,180691000.0,6049000.0,26910000.0,-0.0589,-13777000.0,948239000.0
1,2,"464 КНИ, ООО",1027102871180.0,2002-09-30,15.0,,Действующая,7124021704.0,Тульская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,94992000.0,67096000.0,0.3783,0.9666,0.2745,58942000.0,244464000.0,7941000.0,328000.0,,,2139000.0,,,24448000.0,130000.0,34992000.0,0.0,0.1223,0.0014,-452.4,-1.6314,729.7077,0.38,94862000.0,,90723000.0,,,-5438000.0,36050000.0,,51200000.0,,,,,,,,,,,,,32749000.0,-2317000.0,,,,,,,,1000.0,,,,39141000.0,4076000.0,,,58000.0,0.2822,-0.0277,-0.0094,-2.0206,-0.0095,177368000.0,,34421000.0,0.1044,25534000.0,130000.0
2,3,"А/С АРХАРА, ООО",1142813000439.0,1994-08-16,23.5,,Действующая,2810005441.0,Амурская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,21506000.0,28095000.0,0.449,4.1487,0.3099,1522000.0,90672000.0,15403000.0,3416000.0,,,,,,1129000.0,19005000.0,662000.0,0.0137,7.539,0.8837,0.9199,0.8748,0.1316,7.9904,2501000.0,,2501000.0,,,18965000.0,19984000.0,,1522000.0,,,,,,,,,,,,,19161000.0,21323000.0,,,,,,,,,13000.0,,,1289000.0,3438000.0,,,,1.4128,1.1811,0.3075,2.1524,0.2352,62577000.0,1643000.0,6110000.0,0.1928,17485000.0,19005000.0
3,4,"А/С ДАУРИЯ, ПК",1027501156880.0,1993-01-21,25.0,,Действующая,7507000811.0,Забайкальский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,439858000.0,168737000.0,0.1681,2.4875,0.1439,168679000.0,1172286000.0,163064000.0,5710000.0,,8257000.0,1385000.0,,,8659000.0,347649000.0,,0.0118,3.127,0.7904,0.5148,0.66,0.2652,3.2302,83952000.0,93000000.0,83952000.0,,48000.0,331536000.0,271179000.0,,166871000.0,,,,,,,,,,,,,60912000.0,100904000.0,,,,,,,,3396000.0,2156000.0,,,1203000.0,42435000.0,,,,0.1021,0.298,0.0942,0.1261,0.0861,1003549000.0,12836000.0,67833000.0,0.0353,41352000.0,347649000.0
4,5,"А/С ЗАПАДНАЯ, ООО",1023800734462.0,1996-07-08,21.5,,Действующая,3802005383.0,Иркутская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,848000.0,355000.0,71.0,1.0661,0.9861,755000.0,360000.0,40000.0,53000.0,,,,,,,813000.0,,1.5143,2.6571,0.9587,0.0713,0.6237,0.0431,2.6571,35000.0,,35000.0,,,-19200000.0,93000.0,,660000.0,,,,,,,,,,,,,73000.0,22000.0,,,,,,,,,,,,125000.0,74000.0,,,,,0.0314,0.0651,,0.0611,5000.0,,333000.0,0.1611,58000.0,813000.0
5,6,"А/С НИМАН, ООО",1032700160107.0,1994-08-01,23.5,,Действующая,2710006441.0,Хабаровский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,246043000.0,7347000.0,0.0097,0.3224,0.0096,65236000.0,765689000.0,115839000.0,1501000.0,,1344000.0,250000.0,,121530000.0,63249000.0,86977000.0,22791000.0,0.0001,0.7453,0.3535,0.25,0.1202,1.8288,1.1464,157722000.0,,36192000.0,,3369000.0,82947000.0,180807000.0,,35924000.0,,,,,,,,,,,,,-32961000.0,-15444000.0,,,,,,,,,10227000.0,19288000.0,,5231000.0,12521000.0,,,,-0.1263,-0.0707,-0.0198,-0.2634,-0.0202,758342000.0,,,-0.0349,-26702000.0,86977000.0
6,7,"А/С СЕВЕР, ООО",1020300523297.0,1992-12-07,25.0,,Действующая,302000328.0,Бурятия (Республика),"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,54313000.0,31020000.0,0.3152,2.7858,0.2397,14032000.0,129434000.0,1271000.0,326000.0,351000.0,2086000.0,,,,34446000.0,46711000.0,1286000.0,0.0012,1.0578,0.86,0.6996,0.8113,0.1627,7.3026,5516000.0,356000.0,5516000.0,,43000.0,46348000.0,40281000.0,,13989000.0,,,,,,,,,,,,,16954000.0,19885000.0,,,,,,,,436000.0,2354000.0,,,357000.0,1370000.0,,,,0.2003,0.3997,0.1815,0.333,0.1536,98414000.0,1522000.0,9849000.0,0.103,13334000.0,46711000.0
7,8,"А/С ЧУКОТКА, ООО",1038700020864.0,1994-11-23,23.0,,Действующая,8706004315.0,Чукотский автономный округ,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,1971520000.0,1041684000.0,0.6479,11.0849,0.3932,418819000.0,2649398000.0,475223000.0,852155000.0,388291000.0,,1000000.0,,,118127000.0,1699985000.0,4058000.0,,5.2832,0.8623,0.7536,0.8251,0.1597,5.7182,271535000.0,73221000.0,263943000.0,,,1310544000.0,1552701000.0,,417819000.0,,,,,,,,,,,,,1129538000.0,947711000.0,,,,,,,,2507000.0,,,,478154000.0,298834000.0,,,150000.0,,,0.5569,0.591,0.3577,1607714000.0,230262000.0,89915000.0,0.3394,899276000.0,1699985000.0
8,9,"АБАГУРСКИЙ КАРЬЕР, ООО",1024201822468.0,1997-05-26,20.5,,Действующая,4219006843.0,Кемеровская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,66389000.0,42185000.0,0.8694,1.669,0.4651,10500000.0,90709000.0,19275000.0,21185000.0,427000.0,,,,,14395000.0,54315000.0,6345000.0,0.0175,3.4366,0.8181,0.8067,0.784,0.2223,4.6289,12074000.0,,12074000.0,,,53878000.0,55889000.0,,10500000.0,,,,,,,,,,,,,12377000.0,16909000.0,,,,,,,,,,,,4988000.0,9520000.0,,,,0.1338,0.3828,0.2291,0.1643,0.1864,48524000.0,3904000.0,18931000.0,0.0934,8473000.0,54315000.0
9,10,"АБК, ООО",1021601626089.0,2002-11-14,15.0,,Ликвидируется,1644026070.0,Республика Татарстан,"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",Находится в стадии ликвидации от 27.10.2015,149989000.0,5810000.0,0.2475,0.603,0.1984,55747000.0,29283000.0,44480000.0,290000.0,6257000.0,130000.0,,,8155000.0,40857000.0,16535000.0,,0.0022,0.4004,0.1102,-2.3715,-0.4161,8.0709,0.7069,133323000.0,,125168000.0,,,10178000.0,94242000.0,,52681000.0,,,,,,,,,,,,,19892000.0,-3825000.0,,,,,,,,,,,,24596000.0,879000.0,,,,,-0.0277,-0.1155,,-0.1306,23473000.0,,9635000.0,0.6747,19756000.0,16536000.0
