,#,Наименование,Регистрационный номер,Дата регистрации,Возраст компании,Дата ликвидации,Статус,Код налогоплательщика,Регион регистрации,Вид деятельности/отрасль,Важная информация,"2014, Активы  всего, ед. RUB","2014, Валовая прибыль (убыток), ед. RUB","2014, Валовая рентабельность затрат, %","2014, Валовая рентабельность коммерческих и управленческих расходов, %","2014, Валовая рентабельность, %","2014, Внеоборотные активы, ед. RUB","2014, Выручка, ед. RUB","2014, Дебиторская задолженность, ед. RUB","2014, Денежные средства и денежные эквиваленты, ед. RUB","2014, Добавочный капитал, ед. RUB","2014, Долгосрочные обязательства, ед. RUB","2014, Долгосрочные финансовые вложения, ед. RUB","2014, Заёмные средства (долгосрочные), ед. RUB","2014, Заёмные средства (краткосрочные), ед. RUB","2014, Запасы, ед. RUB","2014, Капитал и резервы, ед. RUB","2014, Коммерческие расходы, ед. RUB","2014, Коэффициент абсолютной ликвидности, %","2014, Коэффициент быстрой ликвидности, %","2014, Коэффициент концентрации собственного капитала (автономии), %","2014, Коэффициент маневренности собственных средств, %","2014, Коэффициент обеспеченности собственными оборотными средствами, %","2014, Коэффициент соотношения заемных и собственных средств, %","2014, Коэффициент текущей ликвидности, %","2014, Краткосрочные обязательства, ед. RUB","2014, Краткосрочные финансовые вложения, ед. RUB","2014, Кредиторская задолженность, ед. RUB","2014, Налог на прибыль, ед. RUB","2014, Нематериальные активы, ед. RUB","2014, Нераспределенная прибыль (непокрытый убыток), ед. RUB","2014, Оборотные активы, ед. RUB","2014, Оплата процентов по долговым обязательствам, ед. RUB","2014, Основные средства , ед. RUB","2014, Получение дивидендов, процентов, ед. RUB","2014, Получение кредитов и займов, ед. RUB","2014, Поступление денежных вкладов собственников (участников), ед. RUB","2014, Поступления арендных, лицензионных, комиссионных платежей, роялти, ед. RUB","2014, Поступления от возврата займов, продажи долговых ценных бумаг, ед. RUB","2014, Поступления от выпуска акций, увеличения долей участия, ед. RUB","2014, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., ед. RUB","2014, Поступления от инвестиционных операций, ед. RUB","2014, Поступления от перепродажи финансовых вложений, ед. RUB","2014, Поступления от продаж, ед. RUB","2014, Поступления от текущих операций, ед. RUB","2014, Поступления от финансовых операций, ед. RUB","2014, Прибыль (убыток) до налогообложения , ед. RUB","2014, Прибыль (убыток) от продажи, ед. RUB","2014, Прибыль от приносящей доход деятельности, ед. RUB","2014, Приобретение акций (долей участия), ед. RUB","2014, Приобретение внеоборотных активов, ед. RUB","2014, Приобретение долговых ценных бумаг, предоставление займов, ед. RUB","2014, Приобретение основных средств, инвентаря и иного имущества, ед. RUB","2014, Продажа акций других организаций, ед. RUB","2014, Продажа внеоборотных активов, ед. RUB","2014, Проценты к получению, ед. RUB","2014, Проценты к уплате, ед. RUB","2014, Прочие внеоборотные активы, ед. RUB","2014, Прочие долгосрочные обязательства, ед. RUB","2014, Прочие доходы, ед. RUB","2014, Прочие расходы, ед. RUB","2014, Расходы на содержание аппарата управления, ед. RUB","2014, Расходы на целевые мероприятия, ед. RUB","2014, Резервный капитал, ед. RUB","2014, Рентабельность активов (ROA), %","2014, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %","2014, Рентабельность затрат, %","2014, Рентабельность капитала (ROE), %","2014, Рентабельность продаж , %","2014, Себестоимость продаж, ед. RUB","2014, Текущий налог на прибыль, ед. RUB","2014, Управленческие расходы, ед. RUB","2014, Чистая норма прибыли (ROS), %","2014, Чистая прибыль (убыток), ед. RUB","2014, Чистые активы, ед. RUB"
271,272,"БОРРЕСУРСЫ, ООО",1175275074336.0,2008-06-09,9.5,,Действующая,5246051519.0,Нижегородская область,Добыча торфа,,9319000.0,1486000.0,0.9411,,0.4848,4276000.0,3065000.0,232000.0,417000.0,,,,,,4357000.0,8015000.0,,0.3198,0.5261,0.8601,0.4665,0.7414,0.1627,3.8673,1304000.0,,1304000.0,293000.0,,2895000.0,5043000.0,,4276000.0,,,,138000.0,,,,,,5685000.0,5823000.0,,1465000.0,1486000.0,,,,,,,,,,,,164000.0,185000.0,,,108000.0,0.1347,0.1676,0.9411,0.1578,0.4848,1579000.0,-293000.0,,0.3824,1172000.0,8015000.0
272,273,"АЛЬФА, ООО",1090101000604.0,2009-10-12,8.0,,Действующая,101009176.0,Краснодарский край,"Добыча камня, песка и глины",,7795000.0,8474000.0,0.3248,1.0875,0.2451,3617000.0,34567000.0,3174000.0,,,310000.0,,310000.0,,1003000.0,-1689000.0,594000.0,,0.3461,-0.2167,3.1415,-1.27,-5.6152,0.4554,9174000.0,,9174000.0,,,-1699000.0,4178000.0,,3617000.0,,,,,,,,,,,,,573000.0,682000.0,,,,,,,,,,,,,109000.0,,,,0.1161,0.0875,0.0201,-0.487,0.0197,26093000.0,,7198000.0,0.0166,573000.0,-1689000.0
273,274,"БПО СЕРВИС, ООО",1128608000620.0,2012-11-21,5.0,,Действующая,8608055791.0,Тюменская область,Предоставление прочих услуг в области добычи нефти и природного газа,,377456000.0,133192000.0,0.1935,1.7836,0.1622,51215000.0,821374000.0,114737000.0,44642000.0,50000000.0,3406000.0,,,,166863000.0,199053000.0,,0.2551,0.9108,0.5274,0.7427,0.4532,0.8963,1.8643,174997000.0,,165359000.0,13136000.0,,149043000.0,326241000.0,,49163000.0,1864000.0,,,,,,,1864000.0,,757847000.0,777163000.0,,62246000.0,58514000.0,,,,,,,,1864000.0,,2052000.0,,11876000.0,10008000.0,,,,0.1528,0.1769,0.0767,0.2754,0.0712,688182000.0,12943000.0,74678000.0,0.0587,48190000.0,199053000.0
274,275,"БРИНДАКИТ, ООО С/А",1051401308375.0,2005-03-11,12.5,,Действующая,1428003720.0,Саха (Республика) (Якутия),"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,54044000.0,19445000.0,0.1955,,0.1636,26249000.0,118883000.0,21264000.0,1060000.0,3311000.0,,,,,5471000.0,42240000.0,,0.0898,1.8912,0.8346,0.3545,0.6785,0.2617,2.3547,11804000.0,,8937000.0,,90000.0,38869000.0,27795000.0,,26159000.0,,,,,,,,,,,,,17977000.0,19445000.0,,,,,,,,,1887000.0,,,539000.0,120000.0,,,,0.3035,0.367,0.1955,0.4347,0.1636,99438000.0,3595000.0,,0.1344,15972000.0,45107000.0
275,276,"БРТ-ЮГ, ООО",1103435003638.0,2010-08-23,7.5,,Действующая,3435104113.0,Волгоградская область,Предоставление услуг по доразведке месторождений нефти и газа на особых экономических условиях (по соглашению о разделе продукции - СРП),,1146000.0,113000.0,0.21,6.2778,0.1736,369000.0,651000.0,235000.0,15000.0,,,,,304000.0,527000.0,661000.0,18000.0,0.0309,0.5155,0.5768,0.4418,0.3758,0.7337,1.6021,485000.0,,181000.0,,,643000.0,777000.0,,,,,,,,,,,,,,,78000.0,95000.0,,,,,,,,,,,,,17000.0,,,,0.06,0.1247,0.1709,0.0981,0.1459,538000.0,16000.0,,0.0952,62000.0,661000.0
276,277,"БРУ, ОАО",1026601183300.0,1994-09-07,23.0,,Действующая,6617002344.0,Свердловская область,Добыча железных руд подземным способом,,1542444000.0,410188000.0,0.3637,1.7785,0.2667,1004573000.0,1537934000.0,289269000.0,4776000.0,,363035000.0,362347000.0,328000000.0,108981000.0,225896000.0,846578000.0,85306000.0,0.0143,0.9373,0.5489,-0.1866,-0.2937,0.822,1.616,332831000.0,,174655000.0,,,651326000.0,537871000.0,26923000.0,625582000.0,,494200000.0,,,,,,59000.0,,1838512000.0,1851979000.0,494200000.0,113815000.0,179556000.0,,,56498000.0,,,,59000.0,1132000.0,27726000.0,940000.0,,16841000.0,55988000.0,,,4000.0,0.0605,0.1569,0.1322,0.1,0.1168,1127746000.0,-33793000.0,145326000.0,0.0524,80631000.0,846578000.0
277,278,"БРУ, ООО",1047102960541.0,2004-07-26,13.5,,Действующая,7130024598.0,Тульская область,Добыча и первичная обработка известняка и гипсового камня,,22338000.0,1305000.0,0.1219,,0.1087,15238000.0,12010000.0,,1540000.0,,,,,3176000.0,5163000.0,3588000.0,,0.0965,0.1033,0.1696,-3.0755,-1.6127,4.9498,0.3787,18750000.0,270000.0,15374000.0,,,3578000.0,7100000.0,,15238000.0,,,,,,,,,,,,,1305000.0,1305000.0,,,,,,,,,,,,,,,,,0.0466,0.064,0.1219,0.3405,0.1087,10705000.0,261000.0,,0.0869,1044000.0,3788000.0
278,279,"БСК ГРАНД, ООО",1067017157921.0,2006-06-15,11.5,,Действующая,7017150776.0,Томская область,"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",,1434903000.0,353761000.0,0.2537,1.8487,0.2024,238974000.0,1748108000.0,837876000.0,3606000.0,,269133000.0,,246859000.0,475642000.0,259089000.0,429525000.0,,0.1301,1.2725,0.2993,0.4436,0.1593,2.3407,1.6244,736245000.0,92150000.0,260603000.0,39999000.0,,429515000.0,1195929000.0,72113000.0,226640000.0,6834000.0,1565820000.0,,,15000000.0,,,22272000.0,,1638826000.0,1646457000.0,1565820000.0,108579000.0,162409000.0,,,121564000.0,99850000.0,,,438000.0,6008000.0,72113000.0,,,145725000.0,133450000.0,,,,0.0739,0.1227,0.1024,0.252,0.0929,1394347000.0,35756000.0,191352000.0,0.0564,98596000.0,429525000.0
279,280,"БСК СОКОЛ, ООО",1125904011860.0,2012-07-16,5.5,,В состоянии банкротства,5904272889.0,Тюменская область,Предоставление услуг в области добычи нефти и природного газа,Решение о признании должника банкротом и открытии конкурсного производства от 22.02.2018,193616000.0,30884000.0,0.2242,1.0429,0.1832,1530000.0,168615000.0,142899000.0,324000.0,,11000.0,,,33680000.0,38343000.0,10000.0,,0.0017,0.7941,0.0001,-152.0,-0.0079,19360.6,0.9922,193595000.0,,159915000.0,,15000.0,,192086000.0,,1511000.0,,,,,,,,,,,,,46000.0,1271000.0,,,,,,,,,,,,32000.0,1257000.0,,,,,0.007,0.0076,,0.0075,137731000.0,,29613000.0,0.0002,38000.0,10000.0
280,281,"БСК, ООО",1097746329999.0,2009-06-03,8.5,,Действующая,7701840346.0,Тюменская область,"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",,593436000.0,216015000.0,0.0995,,0.0905,70156000.0,2388032000.0,426637000.0,14712000.0,,8284000.0,,,,81931000.0,115988000.0,,0.0314,0.9407,0.1955,0.3951,0.0876,4.1164,1.1153,469164000.0,,431445000.0,60280000.0,,115978000.0,523280000.0,,51798000.0,2044000.0,,,747000.0,,,,2044000.0,,2565111000.0,2565858000.0,,179746000.0,216015000.0,,,26714000.0,,,,,2609000.0,15865000.0,18079000.0,,1446656000.0,1469669000.0,,,,0.2046,0.3855,0.0995,0.9061,0.0905,2172017000.0,63253000.0,,0.0593,141519000.0,115988000.0
