,#,Наименование,Регистрационный номер,Дата регистрации,Возраст компании,Дата ликвидации,Статус,Код налогоплательщика,Регион регистрации,Вид деятельности/отрасль,Важная информация,"2010, Активы  всего, ед. RUB","2010, Валовая прибыль (убыток), ед. RUB","2010, Валовая рентабельность затрат, %","2010, Валовая рентабельность коммерческих и управленческих расходов, %","2010, Валовая рентабельность, %","2010, Внеоборотные активы, ед. RUB","2010, Выручка, ед. RUB","2010, Дебиторская задолженность, ед. RUB","2010, Денежные средства и денежные эквиваленты, ед. RUB","2010, Добавочный капитал, ед. RUB","2010, Долгосрочные обязательства, ед. RUB","2010, Долгосрочные финансовые вложения, ед. RUB","2010, Заёмные средства (долгосрочные), ед. RUB","2010, Заёмные средства (краткосрочные), ед. RUB","2010, Запасы, ед. RUB","2010, Капитал и резервы, ед. RUB","2010, Коммерческие расходы, ед. RUB","2010, Коэффициент абсолютной ликвидности, %","2010, Коэффициент быстрой ликвидности, %","2010, Коэффициент концентрации собственного капитала (автономии), %","2010, Коэффициент маневренности собственных средств, %","2010, Коэффициент обеспеченности собственными оборотными средствами, %","2010, Коэффициент соотношения заемных и собственных средств, %","2010, Коэффициент текущей ликвидности, %","2010, Краткосрочные обязательства, ед. RUB","2010, Краткосрочные финансовые вложения, ед. RUB","2010, Кредиторская задолженность, ед. RUB","2010, Налог на прибыль, ед. RUB","2010, Нематериальные активы, ед. RUB","2010, Нераспределенная прибыль (непокрытый убыток), ед. RUB","2010, Оборотные активы, ед. RUB","2010, Оплата процентов по долговым обязательствам, ед. RUB","2010, Основные средства , ед. RUB","2010, Получение дивидендов, процентов, ед. RUB","2010, Получение кредитов и займов, ед. RUB","2010, Поступление денежных вкладов собственников (участников), ед. RUB","2010, Поступления арендных, лицензионных, комиссионных платежей, роялти, ед. RUB","2010, Поступления от возврата займов, продажи долговых ценных бумаг, ед. RUB","2010, Поступления от выпуска акций, увеличения долей участия, ед. RUB","2010, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., ед. RUB","2010, Поступления от инвестиционных операций, ед. RUB","2010, Поступления от перепродажи финансовых вложений, ед. RUB","2010, Поступления от продаж, ед. RUB","2010, Поступления от текущих операций, ед. RUB","2010, Поступления от финансовых операций, ед. RUB","2010, Прибыль (убыток) до налогообложения , ед. RUB","2010, Прибыль (убыток) от продажи, ед. RUB","2010, Прибыль от приносящей доход деятельности, ед. RUB","2010, Приобретение акций (долей участия), ед. RUB","2010, Приобретение внеоборотных активов, ед. RUB","2010, Приобретение долговых ценных бумаг, предоставление займов, ед. RUB","2010, Приобретение основных средств, инвентаря и иного имущества, ед. RUB","2010, Продажа акций других организаций, ед. RUB","2010, Продажа внеоборотных активов, ед. RUB","2010, Проценты к получению, ед. RUB","2010, Проценты к уплате, ед. RUB","2010, Прочие внеоборотные активы, ед. RUB","2010, Прочие долгосрочные обязательства, ед. RUB","2010, Прочие доходы, ед. RUB","2010, Прочие расходы, ед. RUB","2010, Расходы на содержание аппарата управления, ед. RUB","2010, Расходы на целевые мероприятия, ед. RUB","2010, Резервный капитал, ед. RUB","2010, Рентабельность активов (ROA), %","2010, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %","2010, Рентабельность затрат, %","2010, Рентабельность капитала (ROE), %","2010, Рентабельность продаж , %","2010, Себестоимость продаж, ед. RUB","2010, Текущий налог на прибыль, ед. RUB","2010, Управленческие расходы, ед. RUB","2010, Чистая норма прибыли (ROS), %","2010, Чистая прибыль (убыток), ед. RUB","2010, Чистые активы, ед. RUB"
0,1,"464 КНИ, ООО",1027102871180.0,2002-09-30,15.0,,Действующая,7124021704.0,Тульская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,85384000.0,8567000.0,0.0577,0.2555,0.0546,44891000.0,156950000.0,10562000.0,1796000.0,,,2139000.0,,,28135000.0,-23088000.0,,0.0002,0.1139,-0.2704,2.9443,-1.6788,-4.6982,0.3733,108472000.0,,108472000.0,,,-28656000.0,40493000.0,,29384000.0,,,,,,,,,,,,,-25453000.0,-24959000.0,,,,,,,,1000.0,,,,1576000.0,2071000.0,,,58000.0,-0.2396,-0.4102,-0.1372,1.5333,-0.159,148383000.0,,33526000.0,-0.1277,-20039000.0,-23088000.0
1,2,"50 ЛЕТ ОКТЯБРЯ, ООО",1024901350473.0,1999-03-09,18.5,,Действующая,4908001599.0,Магаданская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,1832000.0,1508000.0,0.3376,,0.2524,13000.0,5975000.0,1722000.0,80000.0,1850000.0,,,,,,-22196000.0,,0.0,0.0757,-12.1157,1.0006,-12.2095,-1.0825,0.0757,24028000.0,10000.0,24028000.0,,5000.0,-24070000.0,1819000.0,,8000.0,,,,,,,,,,,,,895000.0,1508000.0,,,,,,,,,,,,,613000.0,,,,0.3186,2.6272,0.3376,-0.0236,0.2524,4467000.0,302000.0,,0.0992,593000.0,-22196000.0
2,3,"STONE CAPITAL, ООО",1036605194614.0,1994-04-01,23.5,,Действующая,6664007389.0,Свердловская область,"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",,81718000.0,600000.0,0.0373,,0.036,43039000.0,16679000.0,2260000.0,216000.0,6583000.0,52519000.0,1000.0,52519000.0,7077000.0,35610000.0,20466000.0,,0.0002,0.3514,0.2504,-1.103,-0.5836,2.9929,4.4291,8733000.0,,1656000.0,,1000.0,-20431000.0,38679000.0,,36020000.0,,,,,,,,,,,,,-796000.0,600000.0,,,,,,,,,549000.0,,,86000.0,933000.0,,,,-0.021,0.0082,0.0373,-0.0794,0.036,16079000.0,60000.0,,-0.1014,-1692000.0,20466000.0
3,4,"А.В. ИНДАСТРИ, ООО",1045611053443.0,2004-09-30,13.0,,Действующая,5616011270.0,Оренбургская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,5220000.0,9668000.0,0.458,1.5685,0.3141,1040000.0,30776000.0,752000.0,1596000.0,,,,,44000.0,1805000.0,4983000.0,,0.0673,10.0169,0.9546,0.7913,0.9435,0.0476,17.6329,237000.0,,193000.0,,,1983000.0,4179000.0,,1040000.0,,,,,,,,,,,,,3205000.0,3504000.0,,,,,,,,,,,,4000.0,303000.0,,,,0.6097,0.9741,0.1285,0.7536,0.1139,21108000.0,111000.0,6164000.0,0.1005,3094000.0,4983000.0
4,5,"А/С ДАУРИЯ, ПК",1027501156880.0,1993-01-21,25.0,,Действующая,7507000811.0,Забайкальский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,370502000.0,195946000.0,0.2886,4.0902,0.224,119678000.0,874867000.0,114785000.0,26363000.0,16016000.0,4612000.0,1385000.0,,,9676000.0,308123000.0,,0.0219,4.1745,0.8316,0.6116,0.7513,0.2024,4.342,57767000.0,100000000.0,57767000.0,,50000.0,292010000.0,250824000.0,,118079000.0,,,,,,,,,,,,,125795000.0,148040000.0,,,,,,,,2827000.0,4324000.0,,,3935000.0,24683000.0,,,,0.3055,0.7964,0.2037,0.3697,0.1692,678921000.0,27192000.0,47906000.0,0.1102,96423000.0,308123000.0
5,6,"А/С КУРЧАТОВА, ООО",1024900785238.0,1996-01-11,22.0,,Ликвидируется,4906001106.0,Магаданская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)","Находится в стадии ликвидации от 07.12.2015, Решение о признании должника банкротом и открытии конкурсного производства от 06.06.2015",121236000.0,18787000.0,0.319,,0.2418,69464000.0,77686000.0,7442000.0,,3654000.0,,,,75237000.0,44017000.0,6310000.0,,,0.0675,0.052,-10.0086,-1.2198,18.2133,0.4505,114926000.0,,39689000.0,,,196000.0,51772000.0,,69464000.0,,,,,,,,,,,,,70000.0,18787000.0,,,,,,,,,8172000.0,,,75063000.0,85608000.0,,,,0.0008,0.1656,0.319,0.0111,0.2418,58899000.0,,,0.0009,70000.0,6310000.0
6,7,"А/С НИМАН, ООО",1032700160107.0,1994-08-01,23.5,,Действующая,2710006441.0,Хабаровский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,176730000.0,125234000.0,0.2286,6.952,0.1861,74419000.0,673052000.0,86964000.0,593000.0,,1197000.0,250000.0,,47756000.0,14105000.0,115749000.0,,0.0001,1.4754,0.6549,0.3571,0.404,0.5268,1.7113,59784000.0,,12028000.0,,5243000.0,109649000.0,102311000.0,,49638000.0,,,,,,,,,,,,,60148000.0,107220000.0,,,,,,,,,12338000.0,,,4093000.0,38827000.0,,,,0.2929,1.4385,0.1895,0.4864,0.1593,547818000.0,12391000.0,18014000.0,0.0673,45285000.0,115749000.0
7,8,"А/С СЕВЕР, ООО",1020300523297.0,1992-12-07,25.0,,Действующая,302000328.0,Бурятия (Республика),"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,78150000.0,4223000.0,0.0397,0.5953,0.0382,3409000.0,110511000.0,25631000.0,7513000.0,351000.0,24000.0,,,35280000.0,5819000.0,33377000.0,898000.0,0.0096,1.5402,0.4271,0.8979,0.401,1.3414,1.6702,44749000.0,35536000.0,9469000.0,,50000.0,33014000.0,74741000.0,,3205000.0,,,,,,,,,,,,,-5434000.0,-2871000.0,,,,,,,,4731000.0,5609000.0,,,606000.0,2291000.0,,,,-0.0475,-0.0833,-0.0253,-0.127,-0.026,106288000.0,591000.0,6196000.0,-0.041,-4528000.0,33377000.0
8,9,"А/С ЧУКОТКА, ООО",1038700020864.0,1994-11-23,23.0,,Действующая,8706004315.0,Чукотский автономный округ,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,2099566000.0,704135000.0,0.3963,7.9849,0.2838,449964000.0,2480848000.0,1298299000.0,169337000.0,388291000.0,,,,,73173000.0,1857891000.0,4057000.0,0.7007,6.5229,0.8849,0.7578,0.8535,0.1301,6.8257,241675000.0,,90117000.0,,,1468450000.0,1649602000.0,,301821000.0,,,,,,,,,,,,,666514000.0,615952000.0,,,,,,,,4425000.0,,23236000.0,,59221000.0,13084000.0,,,150000.0,0.2789,0.382,0.3303,0.3325,0.2483,1776713000.0,133596000.0,84126000.0,0.2148,532918000.0,1857891000.0
9,10,"АБАГУРСКИЙ КАРЬЕР, ООО",1024201822468.0,1997-05-26,20.5,,Действующая,4219006843.0,Кемеровская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,60296000.0,34873000.0,0.9327,1.71,0.4826,10655000.0,72263000.0,25852000.0,6292000.0,427000.0,,3000000.0,,,16826000.0,48842000.0,5008000.0,0.0055,2.8649,0.81,0.7818,0.7693,0.2345,4.3339,11454000.0,,11454000.0,,,48405000.0,49641000.0,,5404000.0,,,,,,,,,,,,,13520000.0,14480000.0,,,,,,,,,,,,110000.0,1070000.0,,,,0.1906,0.3254,0.2506,0.2412,0.2004,37390000.0,3007000.0,15385000.0,0.1455,10513000.0,48842000.0
