,#,Наименование,Регистрационный номер,Дата регистрации,Возраст компании,Дата ликвидации,Статус,Код налогоплательщика,Регион регистрации,Вид деятельности/отрасль,Важная информация,"2009, Активы  всего, ед. RUB","2009, Валовая прибыль (убыток), ед. RUB","2009, Валовая рентабельность затрат, %","2009, Валовая рентабельность коммерческих и управленческих расходов, %","2009, Валовая рентабельность, %","2009, Внеоборотные активы, ед. RUB","2009, Выручка, ед. RUB","2009, Дебиторская задолженность, ед. RUB","2009, Денежные средства и денежные эквиваленты, ед. RUB","2009, Добавочный капитал, ед. RUB","2009, Долгосрочные обязательства, ед. RUB","2009, Долгосрочные финансовые вложения, ед. RUB","2009, Заёмные средства (долгосрочные), ед. RUB","2009, Заёмные средства (краткосрочные), ед. RUB","2009, Запасы, ед. RUB","2009, Капитал и резервы, ед. RUB","2009, Коммерческие расходы, ед. RUB","2009, Коэффициент абсолютной ликвидности, %","2009, Коэффициент быстрой ликвидности, %","2009, Коэффициент концентрации собственного капитала (автономии), %","2009, Коэффициент маневренности собственных средств, %","2009, Коэффициент обеспеченности собственными оборотными средствами, %","2009, Коэффициент соотношения заемных и собственных средств, %","2009, Коэффициент текущей ликвидности, %","2009, Краткосрочные обязательства, ед. RUB","2009, Краткосрочные финансовые вложения, ед. RUB","2009, Кредиторская задолженность, ед. RUB","2009, Налог на прибыль, ед. RUB","2009, Нематериальные активы, ед. RUB","2009, Нераспределенная прибыль (непокрытый убыток), ед. RUB","2009, Оборотные активы, ед. RUB","2009, Оплата процентов по долговым обязательствам, ед. RUB","2009, Основные средства , ед. RUB","2009, Получение дивидендов, процентов, ед. RUB","2009, Получение кредитов и займов, ед. RUB","2009, Поступление денежных вкладов собственников (участников), ед. RUB","2009, Поступления арендных, лицензионных, комиссионных платежей, роялти, ед. RUB","2009, Поступления от возврата займов, продажи долговых ценных бумаг, ед. RUB","2009, Поступления от выпуска акций, увеличения долей участия, ед. RUB","2009, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., ед. RUB","2009, Поступления от инвестиционных операций, ед. RUB","2009, Поступления от перепродажи финансовых вложений, ед. RUB","2009, Поступления от продаж, ед. RUB","2009, Поступления от текущих операций, ед. RUB","2009, Поступления от финансовых операций, ед. RUB","2009, Прибыль (убыток) до налогообложения , ед. RUB","2009, Прибыль (убыток) от продажи, ед. RUB","2009, Прибыль от приносящей доход деятельности, ед. RUB","2009, Приобретение акций (долей участия), ед. RUB","2009, Приобретение внеоборотных активов, ед. RUB","2009, Приобретение долговых ценных бумаг, предоставление займов, ед. RUB","2009, Приобретение основных средств, инвентаря и иного имущества, ед. RUB","2009, Продажа акций других организаций, ед. RUB","2009, Продажа внеоборотных активов, ед. RUB","2009, Проценты к получению, ед. RUB","2009, Проценты к уплате, ед. RUB","2009, Прочие внеоборотные активы, ед. RUB","2009, Прочие долгосрочные обязательства, ед. RUB","2009, Прочие доходы, ед. RUB","2009, Прочие расходы, ед. RUB","2009, Расходы на содержание аппарата управления, ед. RUB","2009, Расходы на целевые мероприятия, ед. RUB","2009, Резервный капитал, ед. RUB","2009, Рентабельность активов (ROA), %","2009, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %","2009, Рентабельность затрат, %","2009, Рентабельность капитала (ROE), %","2009, Рентабельность продаж , %","2009, Себестоимость продаж, ед. RUB","2009, Текущий налог на прибыль, ед. RUB","2009, Управленческие расходы, ед. RUB","2009, Чистая норма прибыли (ROS), %","2009, Чистая прибыль (убыток), ед. RUB","2009, Чистые активы, ед. RUB"
0,1,"464 КНИ, ООО",1027102871180.0,2002-09-30,15.0,,Действующая,7124021704.0,Тульская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,81908000.0,30048000.0,0.2611,1.0054,0.207,44216000.0,145144000.0,9809000.0,1174000.0,,,2139000.0,,,26584000.0,-3050000.0,,0.0001,0.1307,-0.0372,15.497,-1.254,-27.8551,0.4437,84958000.0,,84958000.0,,,-8618000.0,37692000.0,,33403000.0,,,,,,,,,,,,,-959000.0,161000.0,,,,,,,,1000.0,,,,1565000.0,2686000.0,,,58000.0,-0.0317,0.0024,0.0011,-0.1903,0.0011,115096000.0,,29887000.0,-0.0127,-1840000.0,-3050000.0
1,2,"50 ЛЕТ ОКТЯБРЯ, ООО",1024901350473.0,1999-03-09,18.5,,Действующая,4908001599.0,Магаданская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,1891000.0,148000.0,0.0901,,0.0826,19000.0,1791000.0,853000.0,267000.0,1850000.0,,,,,,-28027000.0,,0.0001,0.0626,-14.8213,1.0007,-14.9818,-1.0675,0.0626,29918000.0,10000.0,23979000.0,,10000.0,-29901000.0,1872000.0,,9000.0,,,,,,,,,,,,,-618000.0,148000.0,,,,,,,,1000.0,,,,,767000.0,,,,-0.2938,0.2334,0.0901,0.0234,0.0826,1643000.0,30000.0,,-0.3618,-648000.0,-28027000.0
2,3,"А.В. ИНДАСТРИ, ООО",1045611053443.0,2004-09-30,13.0,,Действующая,5616011270.0,Оренбургская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,4930000.0,5875000.0,0.3833,1.0782,0.2771,808000.0,21204000.0,422000.0,1380000.0,,,,,74000.0,1812000.0,3228000.0,,,1.358,0.6548,0.7497,0.5871,0.527,2.4233,1701000.0,250000.0,1627000.0,,1000.0,228000.0,4122000.0,,807000.0,,,,,,,,,,,,,336000.0,426000.0,,,,,,,,,,,,11000.0,101000.0,,,,,0.0864,0.0205,0.0607,0.0201,15329000.0,87000.0,5449000.0,0.0117,249000.0,3228000.0
3,4,"А/С ДАУРИЯ, ПК",1027501156880.0,1993-01-21,25.0,,Действующая,7507000811.0,Забайкальский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,260775000.0,221778000.0,0.5097,7.5718,0.3376,94980000.0,656860000.0,41769000.0,19664000.0,16016000.0,2440000.0,1385000.0,,,9541000.0,213550000.0,,0.0252,3.489,0.8189,0.5552,0.7152,0.2211,3.702,44785000.0,93000000.0,44785000.0,,53000.0,197437000.0,165795000.0,,93350000.0,,,,,,,,,,,,,170110000.0,192488000.0,,,,,,,,2716000.0,11494000.0,,,664000.0,14264000.0,,,,0.6188,1.6913,0.4145,0.9109,0.293,435082000.0,34862000.0,29290000.0,0.2033,133524000.0,213550000.0
4,5,"А/С КУРЧАТОВА, ООО",1024900785238.0,1996-01-11,22.0,,Ликвидируется,4906001106.0,Магаданская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)","Находится в стадии ликвидации от 07.12.2015, Решение о признании должника банкротом и открытии конкурсного производства от 06.06.2015",51925000.0,4166000.0,0.0285,,0.0277,38419000.0,150246000.0,13230000.0,,3654000.0,,,,5747000.0,276000.0,6251000.0,,,0.2897,0.1204,-5.1461,-2.3818,7.3067,0.006,45674000.0,,39927000.0,,,137000.0,13506000.0,,38419000.0,,,,,,,,,,,,,4724000.0,4166000.0,,,,,,,,,5141000.0,,,7063000.0,1364000.0,,,,0.0872,0.1077,0.0285,0.8664,0.0277,146080000.0,945000.0,,0.0252,3779000.0,6251000.0
5,6,"А/С НИМАН, ООО",1032700160107.0,1994-08-01,23.5,,Действующая,2710006441.0,Хабаровский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,132438000.0,76332000.0,0.1569,4.4733,0.1356,67562000.0,562721000.0,60489000.0,526000.0,,,50000.0,,41314000.0,3861000.0,70464000.0,,0.0001,0.9845,0.5321,0.0412,0.0447,0.8795,1.0468,61974000.0,,20660000.0,,5801000.0,64364000.0,64876000.0,,52154000.0,,,,,,,,,,,,,16738000.0,59268000.0,,,,,,,,,19410000.0,,,6704000.0,29824000.0,,,,0.0774,0.8467,0.1177,0.1583,0.1053,486389000.0,8225000.0,17064000.0,0.0177,9985000.0,70464000.0
6,7,"А/С СЕВЕР, ООО",1020300523297.0,1992-12-07,25.0,,Действующая,302000328.0,Бурятия (Республика),"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,112672000.0,25719000.0,0.3934,3.3571,0.2824,3046000.0,91087000.0,4623000.0,16601000.0,351000.0,1596000.0,,33000.0,65584000.0,21813000.0,37905000.0,870000.0,0.0112,1.2001,0.3364,0.9196,0.318,1.9725,1.4982,73171000.0,65541000.0,7587000.0,,58000.0,37542000.0,109626000.0,,2350000.0,,,,,,,,,,,,,15046000.0,18058000.0,,,,,,,,10548000.0,12371000.0,,,5649000.0,6838000.0,,,,0.1244,0.6289,0.2473,0.377,0.1983,65368000.0,1208000.0,6791000.0,0.1301,11848000.0,37905000.0
7,8,"А/С ЧУКОТКА, ООО",1038700020864.0,1994-11-23,23.0,,Действующая,8706004315.0,Чукотский автономный округ,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,1722271000.0,616721000.0,0.3346,9.1875,0.2507,418794000.0,2460014000.0,895461000.0,311681000.0,388291000.0,1326000.0,,1326000.0,,39621000.0,1347688000.0,4561000.0,0.0087,3.386,0.7825,0.6893,0.7126,0.2779,3.4922,373257000.0,13301000.0,207875000.0,,,958247000.0,1303477000.0,,267778000.0,,,,,,,,,,,,,548766000.0,549595000.0,,,,,,,,5187000.0,,26109000.0,,6303000.0,12319000.0,,,150000.0,0.2916,0.4626,0.2877,0.3887,0.2234,1843293000.0,112325000.0,62565000.0,0.1774,436441000.0,1347688000.0
8,9,"АБАГУРСКИЙ КАРЬЕР, ООО",1024201822468.0,1997-05-26,20.5,,Действующая,4219006843.0,Кемеровская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,49999000.0,23456000.0,0.8837,1.2219,0.4691,9068000.0,49999000.0,18474000.0,1096000.0,427000.0,,,,,20409000.0,38329000.0,3910000.0,0.0009,1.7585,0.7666,0.7634,0.7149,0.3045,3.5074,11670000.0,,11670000.0,,,37892000.0,40931000.0,,6634000.0,,,,,,,,,,,,,3276000.0,4260000.0,,,,,,,,,,,,45000.0,1029000.0,,,,0.045,0.0966,0.0931,0.06,0.0852,26543000.0,1088000.0,15286000.0,0.0438,2188000.0,38329000.0
9,10,"АБЗАКОВСКИЙ ЩЕБЕНЬ, ООО",1040202125336.0,2004-11-25,13.0,2016-12-30,Недействующая,201008031.0,Башкортостан (Республика),"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев","Ликвидировано вследствие банкротства от 30.12.2016, Решение о признании должника банкротом и открытии конкурсного производства от 07.05.2016",1256000.0,641000.0,0.146,0.849,0.1274,187000.0,5031000.0,270000.0,,,,,,,656000.0,-5471000.0,,,0.0614,-4.3559,1.0342,-5.2928,-1.2296,0.1589,6727000.0,,6727000.0,,,-5481000.0,1069000.0,,92000.0,,,,,,,,,,,,,-449000.0,-114000.0,,,,,,,,,,,,,335000.0,,,,-0.3314,-0.1155,-0.0222,0.0833,-0.0227,4390000.0,,755000.0,-0.0892,-449000.0,-5471000.0
