,#,Наименование,Регистрационный номер,Дата регистрации,Возраст компании,Дата ликвидации,Статус,Код налогоплательщика,Регион регистрации,Вид деятельности/отрасль,Важная информация,"2012, Активы  всего, ед. RUB","2012, Валовая прибыль (убыток), ед. RUB","2012, Валовая рентабельность затрат, %","2012, Валовая рентабельность коммерческих и управленческих расходов, %","2012, Валовая рентабельность, %","2012, Внеоборотные активы, ед. RUB","2012, Выручка, ед. RUB","2012, Дебиторская задолженность, ед. RUB","2012, Денежные средства и денежные эквиваленты, ед. RUB","2012, Добавочный капитал, ед. RUB","2012, Долгосрочные обязательства, ед. RUB","2012, Долгосрочные финансовые вложения, ед. RUB","2012, Заёмные средства (долгосрочные), ед. RUB","2012, Заёмные средства (краткосрочные), ед. RUB","2012, Запасы, ед. RUB","2012, Капитал и резервы, ед. RUB","2012, Коммерческие расходы, ед. RUB","2012, Коэффициент абсолютной ликвидности, %","2012, Коэффициент быстрой ликвидности, %","2012, Коэффициент концентрации собственного капитала (автономии), %","2012, Коэффициент маневренности собственных средств, %","2012, Коэффициент обеспеченности собственными оборотными средствами, %","2012, Коэффициент соотношения заемных и собственных средств, %","2012, Коэффициент текущей ликвидности, %","2012, Краткосрочные обязательства, ед. RUB","2012, Краткосрочные финансовые вложения, ед. RUB","2012, Кредиторская задолженность, ед. RUB","2012, Налог на прибыль, ед. RUB","2012, Нематериальные активы, ед. RUB","2012, Нераспределенная прибыль (непокрытый убыток), ед. RUB","2012, Оборотные активы, ед. RUB","2012, Оплата процентов по долговым обязательствам, ед. RUB","2012, Основные средства , ед. RUB","2012, Получение дивидендов, процентов, ед. RUB","2012, Получение кредитов и займов, ед. RUB","2012, Поступление денежных вкладов собственников (участников), ед. RUB","2012, Поступления арендных, лицензионных, комиссионных платежей, роялти, ед. RUB","2012, Поступления от возврата займов, продажи долговых ценных бумаг, ед. RUB","2012, Поступления от выпуска акций, увеличения долей участия, ед. RUB","2012, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., ед. RUB","2012, Поступления от инвестиционных операций, ед. RUB","2012, Поступления от перепродажи финансовых вложений, ед. RUB","2012, Поступления от продаж, ед. RUB","2012, Поступления от текущих операций, ед. RUB","2012, Поступления от финансовых операций, ед. RUB","2012, Прибыль (убыток) до налогообложения , ед. RUB","2012, Прибыль (убыток) от продажи, ед. RUB","2012, Прибыль от приносящей доход деятельности, ед. RUB","2012, Приобретение акций (долей участия), ед. RUB","2012, Приобретение внеоборотных активов, ед. RUB","2012, Приобретение долговых ценных бумаг, предоставление займов, ед. RUB","2012, Приобретение основных средств, инвентаря и иного имущества, ед. RUB","2012, Продажа акций других организаций, ед. RUB","2012, Продажа внеоборотных активов, ед. RUB","2012, Проценты к получению, ед. RUB","2012, Проценты к уплате, ед. RUB","2012, Прочие внеоборотные активы, ед. RUB","2012, Прочие долгосрочные обязательства, ед. RUB","2012, Прочие доходы, ед. RUB","2012, Прочие расходы, ед. RUB","2012, Расходы на содержание аппарата управления, ед. RUB","2012, Расходы на целевые мероприятия, ед. RUB","2012, Резервный капитал, ед. RUB","2012, Рентабельность активов (ROA), %","2012, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %","2012, Рентабельность затрат, %","2012, Рентабельность капитала (ROE), %","2012, Рентабельность продаж , %","2012, Себестоимость продаж, ед. RUB","2012, Текущий налог на прибыль, ед. RUB","2012, Управленческие расходы, ед. RUB","2012, Чистая норма прибыли (ROS), %","2012, Чистая прибыль (убыток), ед. RUB","2012, Чистые активы, ед. RUB"
0,1,"436 КНИ, ООО",1114704000201.0,2011-01-26,7.0,2014-03-25,Недействующая,4704086019.0,Ленинградская область,Добыча и первичная обработка камня для памятников и строительства,"Ликвидировано от 25.03.2014, Сообщения о принятии решения о ликвидации от 28.11.2012",917476000.0,35164000.0,0.1238,0.617,0.1102,755262000.0,319216000.0,162166000.0,46000.0,2198000.0,111000.0,,,3000000.0,2000.0,907324000.0,18495000.0,0.0,16.155,0.9889,0.1676,0.9374,0.0112,16.1552,10041000.0,,7005000.0,12386000.0,,-54692000.0,162214000.0,,755221000.0,,,,14756000.0,,,,,,348120000.0,364491000.0,,-25828000.0,-21825000.0,,,3318000.0,,,,,,,,,144545000.0,148548000.0,,,,-0.0425,-0.0238,-0.064,-0.0441,-0.0684,284052000.0,17581000.0,38494000.0,-0.1282,-40915000.0,907324000.0
1,2,"464 КНИ, ООО",1027102871180.0,2002-09-30,15.0,,Действующая,7124021704.0,Тульская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,105984000.0,67250000.0,0.3212,0.8239,0.2431,56492000.0,276643000.0,10270000.0,238000.0,,65000.0,2139000.0,,,30206000.0,-9198000.0,42645000.0,0.0,0.1675,-0.0868,7.1418,-1.3273,-12.5225,0.4299,115117000.0,,109791000.0,,,-14766000.0,49492000.0,,46914000.0,,,,,,,,2698000.0,,288382000.0,317309000.0,,-11093000.0,-14376000.0,,,2715000.0,,,,2698000.0,2000.0,,,,8020000.0,4739000.0,,,58000.0,-0.0916,-0.1645,-0.0494,2.0311,-0.052,209393000.0,,38981000.0,-0.0333,-9209000.0,-9198000.0
2,3,"50 ЛЕТ ОКТЯБРЯ, ООО",1024901350473.0,1999-03-09,18.5,,Действующая,4908001599.0,Магаданская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,2294000.0,1931000.0,0.2894,,0.2245,5000.0,8603000.0,2087000.0,183000.0,1850000.0,,,,,,2032000.0,,0.7366,8.7366,0.8858,0.9975,0.8855,0.1289,8.7366,262000.0,10000.0,262000.0,,3000.0,158000.0,2289000.0,,2000.0,,,,,,,,,,,,,1372000.0,1931000.0,,,,,,,,,,,,,559000.0,,,,0.5864,0.923,0.2894,-0.0944,0.2245,6672000.0,386000.0,,0.1146,986000.0,2032000.0
3,4,"STONE CAPITAL, ООО",1036605194614.0,1994-04-01,23.5,,Действующая,6664007389.0,Свердловская область,"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",,17106000.0,7741000.0,1.851,1.0935,0.6492,9691000.0,11923000.0,1254000.0,27000.0,6583000.0,,,,,6134000.0,15298000.0,,0.0001,0.708,0.8943,0.3665,0.7563,0.1182,4.1007,1808000.0,,1808000.0,1425000.0,,-25599000.0,7414000.0,,9691000.0,,,,,,,,,,12289000.0,12289000.0,,63000.0,662000.0,,,,,,,,,,,,,599000.0,,,,0.0028,0.0388,0.0588,0.003,0.0555,4182000.0,13000.0,7079000.0,0.0042,50000.0,15298000.0
4,5,"А-ВЕНЧУРС, ООО",1067757850050.0,2006-10-12,11.0,,Действующая,7705758170.0,Москва,Предоставление прочих услуг в области добычи нефти и природного газа,,16483000.0,86000.0,14.3333,0.0187,0.9348,7967000.0,92000.0,6268000.0,156000.0,15641000.0,,2236000.0,,,,15693000.0,,0.0284,10.7797,0.9521,0.4923,0.9072,0.0503,10.7797,790000.0,2088000.0,652000.0,,232000.0,40000.0,8516000.0,,18000.0,,,5718000.0,,,,,157000.0,,154000.0,212000.0,5718000.0,-4531000.0,-4506000.0,,40000.0,,,,157000.0,,235000.0,,,,313000.0,573000.0,,,2000.0,-0.2742,-0.6913,-0.98,-0.2878,-48.9783,6000.0,,4592000.0,-40.7717,-3751000.0,15693000.0
5,6,"А.В. ИНДАСТРИ, ООО",1045611053443.0,2004-09-30,13.0,,Действующая,5616011270.0,Оренбургская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,3998000.0,275000.0,1.8333,0.2193,0.6471,1321000.0,425000.0,1180000.0,19000.0,,,,,2370000.0,1478000.0,1364000.0,,0.0072,0.4552,0.3412,0.0315,0.0161,1.9311,1.0163,2634000.0,,264000.0,,,-1636000.0,2677000.0,,22000.0,,,,,,,,,,,,,500000.0,-979000.0,,,,,,,,,1000.0,,,1495000.0,15000.0,,,,,-0.3653,-0.6973,,-2.3035,150000.0,100000.0,1254000.0,0.9412,400000.0,1364000.0
6,7,"А/С ДАУРИЯ, ПК",1027501156880.0,1993-01-21,25.0,,Действующая,7507000811.0,Забайкальский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,624310000.0,233201000.0,0.2343,2.8068,0.1898,221535000.0,1228575000.0,239727000.0,34480000.0,,73703000.0,715000.0,62646000.0,57494000.0,107717000.0,445099000.0,,0.0046,2.7965,0.7129,0.5023,0.5551,0.4026,3.8175,105508000.0,14000000.0,48014000.0,12882000.0,46000.0,445002000.0,402775000.0,4518000.0,216061000.0,5045000.0,219839000.0,,4176000.0,,,,5045000.0,,1248182000.0,1368344000.0,219839000.0,127939000.0,150116000.0,,,,,,,,4918000.0,4799000.0,4503000.0,,3550000.0,25973000.0,,,,0.1864,0.2664,0.1392,0.2501,0.1222,995374000.0,25741000.0,83085000.0,0.0808,99233000.0,445099000.0
7,8,"А/С ЗАПАДНАЯ, ООО",1023800734462.0,1996-07-08,21.5,,Действующая,3802005383.0,Иркутская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,338000.0,303000.0,60.6,1.1521,0.9838,267000.0,308000.0,31000.0,40000.0,,,,,,,330000.0,,5.0,8.875,0.9763,0.1909,0.8873,0.0242,8.875,8000.0,,8000.0,,,-19183000.0,71000.0,,177000.0,,,,,,,,,,,,,22000.0,40000.0,,,,,,,,,,,,475000.0,493000.0,,,,0.0287,0.1923,0.1493,0.0297,0.1299,5000.0,,263000.0,0.0552,17000.0,330000.0
8,9,"А/С НИМАН, ООО",1032700160107.0,1994-08-01,23.5,,Действующая,2710006441.0,Хабаровский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,340285000.0,19714000.0,0.0248,0.4831,0.0242,114945000.0,816216000.0,144006000.0,3696000.0,,1656000.0,250000.0,,251331000.0,77638000.0,54193000.0,,0.0001,0.5193,0.1593,-1.121,-0.2696,5.2791,0.7922,284436000.0,,32630000.0,,2949000.0,50163000.0,225340000.0,16870000.0,35369000.0,,378962000.0,,,,,,,,820247000.0,946788000.0,378962000.0,-40903000.0,-21095000.0,,,4100000.0,,,,,,16894000.0,60821000.0,,2849000.0,5763000.0,,,,-0.1118,-0.0811,-0.0252,-0.4645,-0.0258,796502000.0,,40809000.0,-0.0402,-32784000.0,54193000.0
9,10,"А/С СЕВЕР, ООО",1020300523297.0,1992-12-07,25.0,,Действующая,302000328.0,Бурятия (Республика),"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,87670000.0,38618000.0,0.2852,2.6968,0.2219,19263000.0,174029000.0,9600000.0,458000.0,351000.0,2732000.0,,,23035000.0,31435000.0,59804000.0,566000.0,0.0095,1.471,0.6821,0.6779,0.5926,0.466,2.7217,25134000.0,23464000.0,2099000.0,2549000.0,35000.0,59441000.0,68407000.0,,19227000.0,,69334000.0,,,,,,,,169867000.0,194969000.0,69334000.0,17036000.0,24298000.0,,,,,,,,2782000.0,4204000.0,,,334000.0,6174000.0,,,,0.1844,0.403,0.1623,0.2458,0.1396,135411000.0,3802000.0,13754000.0,0.0752,13093000.0,59804000.0
10,11,"А/С ЧУКОТКА, ООО",1038700020864.0,1994-11-23,23.0,,Действующая,8706004315.0,Чукотский автономный округ,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,1406971000.0,103527000.0,0.6054,1.8438,0.3771,346059000.0,274529000.0,161925000.0,715450000.0,388291000.0,,1000000.0,,,71578000.0,1343161000.0,,11.2941,15.5044,0.9546,0.7424,0.9399,0.0475,16.6261,63810000.0,5229000.0,57346000.0,75106000.0,,953720000.0,1060912000.0,,345059000.0,,,,,71997000.0,,,97406000.0,,1321639000.0,1415328000.0,,201155000.0,47378000.0,,,7643000.0,11509000.0,,,25409000.0,5194000.0,,,,492708000.0,344125000.0,,,150000.0,0.0948,0.0819,0.2086,0.1053,0.1726,171002000.0,40231000.0,56149000.0,0.5835,160194000.0,1343161000.0
11,12,"АБАГУРСКИЙ КАРЬЕР, ООО",1024201822468.0,1997-05-26,20.5,,Действующая,4219006843.0,Кемеровская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,67583000.0,44599000.0,0.8292,1.2807,0.4533,16087000.0,98384000.0,17279000.0,7940000.0,427000.0,,,,,24177000.0,57814000.0,5876000.0,0.8128,2.7965,0.8555,0.7217,0.8103,0.169,5.2714,9769000.0,,9769000.0,,,57377000.0,51496000.0,,16087000.0,,,,,,,,,,,,,7491000.0,9776000.0,,,,,,,,,,,,1093000.0,3378000.0,,,,0.0825,0.1699,0.1103,0.0986,0.0994,53785000.0,1964000.0,28947000.0,0.0562,5527000.0,57814000.0
12,13,"АБК, ООО",1021601626089.0,2002-11-14,15.0,,Ликвидируется,1644026070.0,Республика Татарстан,"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",Находится в стадии ликвидации от 27.10.2015,147972000.0,10387000.0,0.0777,0.7745,0.0721,31676000.0,144086000.0,36525000.0,11000.0,6457000.0,25000.0,,,23460000.0,79562000.0,19540000.0,,0.0001,0.2861,0.1321,-0.6211,-0.1044,6.5728,0.9057,128407000.0,,104947000.0,,,12983000.0,116296000.0,,28611000.0,,,,,,,,,,,,,2856000.0,-3025000.0,,,,,,,,,,,,18394000.0,12513000.0,,,,0.0188,-0.0209,-0.0206,0.1555,-0.021,133699000.0,,13412000.0,0.0195,2805000.0,19540000.0
13,14,"АВРОРА, ООО",1077746333180.0,2007-02-12,11.0,2014-10-30,Недействующая,7714681654.0,Москва,Предоставление услуг в области добычи нефти и природного газа,"Прекратило деятельность при присоединении от 30.10.2014, Сообщения о принятии решения о реорганизации от 10.09.2014",35879000.0,1779000.0,0.0221,3.971,0.0216,3439000.0,82172000.0,15966000.0,4000.0,,,,,,16093000.0,4147000.0,448000.0,0.008,0.5152,0.1156,0.1707,0.0218,7.6518,1.0223,31732000.0,250000.0,31732000.0,,,4127000.0,32440000.0,,3439000.0,,,,,,,,,,,,,888000.0,1331000.0,,,,,,,,,,,,16000.0,459000.0,,,,0.0166,0.0375,0.0165,0.1548,0.0162,80393000.0,232000.0,,0.0073,596000.0,4147000.0
14,15,"АВТОДОР, ОАО",1041100403827.0,2004-02-16,14.0,2014-07-01,Недействующая,1101301817.0,Коми (Республика),"Разработка гравийных и песчаных карьеров, добыча глины и каолина","Прекратило деятельность при преобразовании от 01.07.2014, Сообщения о принятии решения о реорганизации от 28.05.2014",151628000.0,234216000.0,1.748,8.7883,0.6361,34396000.0,368205000.0,16192000.0,21803000.0,,1858000.0,,,,30705000.0,93517000.0,4888000.0,0.012,1.5382,0.6168,0.6322,0.5043,0.6214,2.084,56253000.0,45472000.0,28469000.0,43405000.0,,28193000.0,117232000.0,,34212000.0,,105000000.0,322200000.0,,,,,18413000.0,,451758000.0,488155000.0,427200000.0,206974000.0,207565000.0,,,,,,,18413000.0,5470000.0,,,,92026000.0,98087000.0,,,3316000.0,1.0766,2.5591,1.2921,1.5177,0.5637,133989000.0,45861000.0,21763000.0,0.4547,167439000.0,93517000.0
15,16,"АВТОДОР, ООО",1141101003284.0,2014-07-01,3.5,,Действующая,1101150406.0,Коми (Республика),"Разработка гравийных и песчаных карьеров, добыча глины и каолина",Сообщения о принятии решения о реорганизации от 03.12.2014,148722000.0,234216000.0,1.748,8.7879,0.6361,34396000.0,368205000.0,16183000.0,21803000.0,,1858000.0,,,,30705000.0,93517000.0,4888000.0,1.2611,1.5675,0.6288,0.6322,0.5171,0.5903,2.1431,53347000.0,45472000.0,25571000.0,,,28193000.0,114326000.0,,34212000.0,,,,,,,,,,,,,206975000.0,207564000.0,,,,,,,,5471000.0,,,,92027000.0,98087000.0,,,3316000.0,,2.5594,1.2921,,0.5637,133989000.0,45862000.0,21764000.0,0.44,162011000.0,93517000.0
16,17,"АВТОДОРТРЕЙД-БТК, ООО",1027739129186.0,2002-03-01,16.0,,Действующая,7703324065.0,Москва,Добыча сырой нефти,,40840000.0,36393000.0,0.0628,2.441,0.0591,18000.0,616014000.0,36926000.0,3880000.0,,,,,,,36336000.0,14909000.0,0.0086,9.0635,0.8897,0.9995,0.8897,0.124,9.0635,4504000.0,,73000.0,,,36326000.0,40822000.0,,18000.0,,,,,,,,,,,,,20465000.0,21484000.0,,,,,,,,,742000.0,,,508000.0,785000.0,,,,0.4413,0.5815,0.0361,0.5291,0.0349,579621000.0,4110000.0,,0.0265,16353000.0,36336000.0
17,18,"АВТОТРАНС-РЕГИОН, ООО",1110265001110.0,2011-06-21,6.5,2017-12-11,Недействующая,265036130.0,Башкортостан (Республика),Предоставление прочих услуг в области добычи нефти и природного газа,Ликвидировано от 11.12.2017,2784000.0,25000.0,0.0874,,0.0804,2071000.0,311000.0,430000.0,230000.0,,,,,2593000.0,53000.0,10000.0,,0.0829,0.2379,0.0036,-206.1,-2.8906,277.4,0.257,2774000.0,,181000.0,,,,713000.0,,2071000.0,,,,,,,,,,,,,3000.0,25000.0,,,,,,,,,,,,,22000.0,,,,,0.0098,0.0874,,0.0804,286000.0,,,0.0096,3000.0,10000.0
18,19,"АГАТ, ООО",1024901149580.0,1996-09-20,21.0,,Реорганизуется,4907005752.0,Магаданская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)","Находится в процессе реорганизации в форме присоединения к нему других ЮЛ от 08.12.2016, Сообщения о принятии решения о реорганизации от 01.03.2017",710872000.0,56304000.0,0.1592,4.1918,0.1373,152747000.0,410062000.0,110437000.0,208000.0,,330984000.0,,330984000.0,301713000.0,386419000.0,16478000.0,,0.0,0.4725,0.0232,-8.2698,-0.2442,42.1407,1.5358,363411000.0,,61698000.0,5994000.0,10872000.0,16304000.0,558126000.0,34773000.0,141875000.0,,454000000.0,,,,,,,,439235000.0,734717000.0,454000000.0,2765000.0,42872000.0,,,,,,,,,32997000.0,,,4196000.0,11306000.0,,,,0.0022,0.066,0.1168,0.0792,0.1046,353758000.0,553000.0,13432000.0,0.0036,1467000.0,16477000.0
19,20,"АГАТ, ООО",1063304010054.0,2006-03-20,11.5,,Действующая,3304013504.0,Владимирская область,"Добыча камня, песка и глины",,47522000.0,3217000.0,0.1147,,0.1029,27507000.0,31267000.0,11361000.0,33000.0,,8453000.0,,8453000.0,14622000.0,8621000.0,197000.0,,0.0008,0.2931,0.0042,-136.55,-1.3643,236.62,0.5149,38871000.0,,24246000.0,,,187000.0,20015000.0,,27507000.0,,,,,,,,,,,,,187000.0,3217000.0,,,,,,,,,,,,1394000.0,4424000.0,,,,,0.0677,0.1147,,0.1029,28050000.0,,,0.006,187000.0,201000.0
20,21,"АГЕНС-АФА, ООО",1022304364829.0,1993-11-15,24.0,,Действующая,2343013506.0,Краснодарский край,"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",,1194000.0,10000.0,1.0,,0.5,499000.0,20000.0,669000.0,26000.0,967000.0,215000.0,,,,,967000.0,,2.1667,57.9167,0.8099,0.484,0.6734,0.2347,57.9167,12000.0,,3000.0,,,,695000.0,,499000.0,,,,,,,,,,,,,10000.0,10000.0,,,,,,,,,,,215000.0,,,,,,,0.0086,1.0,,0.5,10000.0,3000.0,,0.5,10000.0,967000.0
21,22,"АГИДЕЛЬ, ООО",1120280023380.0,2012-06-05,5.5,,Действующая,274166671.0,Башкортостан (Республика),"Добыча камня, песка и глины",,357000.0,301000.0,0.8625,,0.4631,70000.0,650000.0,173000.0,114000.0,,,,,200000.0,,-271000.0,,0.1815,0.457,-0.7591,1.2583,-1.1882,-2.3173,0.457,628000.0,,428000.0,,,-281000.0,287000.0,,,,,,,,,,,,,,,-351000.0,301000.0,,,,,,,,,,,,,652000.0,,,,,1.7399,0.8625,,0.4631,349000.0,,,-0.4323,-281000.0,-271000.0
22,23,"АГК, ОАО",1027401784740.0,1999-12-29,18.0,,Действующая,7435006346.0,Челябинская область,Добыча и обогащение медной руды,Сообщения о принятии решения о реорганизации от 29.05.2013,1470091000.0,134616000.0,0.204,1.1937,0.1694,944098000.0,794505000.0,304149000.0,12000.0,,29409000.0,1000000.0,,,172942000.0,1349600000.0,31081000.0,0.0037,3.8762,0.918,0.3005,0.7709,0.0893,5.7749,91082000.0,34000000.0,78960000.0,2195000.0,,1339427000.0,525993000.0,,938133000.0,,95181000.0,,,,,,3172000.0,,880910000.0,949554000.0,95181000.0,-20730000.0,21840000.0,,,159265000.0,,,,3172000.0,764000.0,,,,22335000.0,65669000.0,,,,-0.0148,0.0154,0.0283,-0.016,0.0275,659889000.0,,81695000.0,-0.0275,-21872000.0,1349600000.0
23,24,"АГК, ООО",1092801011270.0,2009-11-26,8.0,,Ликвидируется,2801146598.0,Амурская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина","Находится в стадии ликвидации от 20.11.2017, Определение о введении наблюдения от 11.11.2017",39440000.0,5624000.0,0.1976,1.6036,0.165,14712000.0,34088000.0,15990000.0,499000.0,,9849000.0,,9849000.0,2222000.0,5098000.0,80000.0,,0.0169,0.6652,0.002,-182.9,-0.5917,492.0,0.8379,29511000.0,,27289000.0,,,70000.0,24727000.0,,14712000.0,,,,,,,,,,,,,26000.0,2117000.0,,,,,,,,,803000.0,,,124000.0,1412000.0,,,,-0.0015,0.0591,0.0662,-0.4293,0.0621,28464000.0,70000.0,3507000.0,-0.0013,-44000.0,80000.0
