,#,Наименование,Регистрационный номер,Дата регистрации,Возраст компании,Дата ликвидации,Статус,Код налогоплательщика,Регион регистрации,Вид деятельности/отрасль,Важная информация,"2013, Активы  всего, ед. RUB","2013, Валовая прибыль (убыток), ед. RUB","2013, Валовая рентабельность затрат, %","2013, Валовая рентабельность коммерческих и управленческих расходов, %","2013, Валовая рентабельность, %","2013, Внеоборотные активы, ед. RUB","2013, Выручка, ед. RUB","2013, Дебиторская задолженность, ед. RUB","2013, Денежные средства и денежные эквиваленты, ед. RUB","2013, Добавочный капитал, ед. RUB","2013, Долгосрочные обязательства, ед. RUB","2013, Долгосрочные финансовые вложения, ед. RUB","2013, Заёмные средства (долгосрочные), ед. RUB","2013, Заёмные средства (краткосрочные), ед. RUB","2013, Запасы, ед. RUB","2013, Капитал и резервы, ед. RUB","2013, Коммерческие расходы, ед. RUB","2013, Коэффициент абсолютной ликвидности, %","2013, Коэффициент быстрой ликвидности, %","2013, Коэффициент концентрации собственного капитала (автономии), %","2013, Коэффициент маневренности собственных средств, %","2013, Коэффициент обеспеченности собственными оборотными средствами, %","2013, Коэффициент соотношения заемных и собственных средств, %","2013, Коэффициент текущей ликвидности, %","2013, Краткосрочные обязательства, ед. RUB","2013, Краткосрочные финансовые вложения, ед. RUB","2013, Кредиторская задолженность, ед. RUB","2013, Налог на прибыль, ед. RUB","2013, Нематериальные активы, ед. RUB","2013, Нераспределенная прибыль (непокрытый убыток), ед. RUB","2013, Оборотные активы, ед. RUB","2013, Оплата процентов по долговым обязательствам, ед. RUB","2013, Основные средства , ед. RUB","2013, Получение дивидендов, процентов, ед. RUB","2013, Получение кредитов и займов, ед. RUB","2013, Поступление денежных вкладов собственников (участников), ед. RUB","2013, Поступления арендных, лицензионных, комиссионных платежей, роялти, ед. RUB","2013, Поступления от возврата займов, продажи долговых ценных бумаг, ед. RUB","2013, Поступления от выпуска акций, увеличения долей участия, ед. RUB","2013, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., ед. RUB","2013, Поступления от инвестиционных операций, ед. RUB","2013, Поступления от перепродажи финансовых вложений, ед. RUB","2013, Поступления от продаж, ед. RUB","2013, Поступления от текущих операций, ед. RUB","2013, Поступления от финансовых операций, ед. RUB","2013, Прибыль (убыток) до налогообложения , ед. RUB","2013, Прибыль (убыток) от продажи, ед. RUB","2013, Прибыль от приносящей доход деятельности, ед. RUB","2013, Приобретение акций (долей участия), ед. RUB","2013, Приобретение внеоборотных активов, ед. RUB","2013, Приобретение долговых ценных бумаг, предоставление займов, ед. RUB","2013, Приобретение основных средств, инвентаря и иного имущества, ед. RUB","2013, Продажа акций других организаций, ед. RUB","2013, Продажа внеоборотных активов, ед. RUB","2013, Проценты к получению, ед. RUB","2013, Проценты к уплате, ед. RUB","2013, Прочие внеоборотные активы, ед. RUB","2013, Прочие долгосрочные обязательства, ед. RUB","2013, Прочие доходы, ед. RUB","2013, Прочие расходы, ед. RUB","2013, Расходы на содержание аппарата управления, ед. RUB","2013, Расходы на целевые мероприятия, ед. RUB","2013, Резервный капитал, ед. RUB","2013, Рентабельность активов (ROA), %","2013, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %","2013, Рентабельность затрат, %","2013, Рентабельность капитала (ROE), %","2013, Рентабельность продаж , %","2013, Себестоимость продаж, ед. RUB","2013, Текущий налог на прибыль, ед. RUB","2013, Управленческие расходы, ед. RUB","2013, Чистая норма прибыли (ROS), %","2013, Чистая прибыль (убыток), ед. RUB","2013, Чистые активы, ед. RUB"
0,1,"464 КНИ, ООО",1027102871180.0,2002-09-30,15.0,,Действующая,7124021704.0,Тульская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,125871000.0,67313000.0,0.3278,0.8919,0.2469,75172000.0,272682000.0,1419000.0,866000.0,,38000.0,4508000.0,,,36066000.0,-18792000.0,36556000.0,0.006,0.1012,-0.1493,5.0002,-1.8534,-7.6981,0.3506,144625000.0,,140382000.0,,,-24360000.0,50699000.0,,62638000.0,119000.0,,,,,,,2710000.0,,281654000.0,286632000.0,,-10208000.0,-8159000.0,,,14098000.0,,,15000.0,2576000.0,2000.0,,,,6125000.0,10680000.0,,,58000.0,-0.0828,-0.0815,-0.0291,0.6855,-0.0299,205369000.0,,38916000.0,-0.0352,-9594000.0,-18792000.0
1,2,"STONE CAPITAL, ООО",1036605194614.0,1994-04-01,23.5,,Действующая,6664007389.0,Свердловская область,"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",,17502000.0,7161000.0,1.8371,1.0895,0.6475,8834000.0,11059000.0,1919000.0,10000.0,6583000.0,,,,120000.0,6691000.0,15313000.0,,0.0046,0.9036,0.8749,0.4231,0.7475,0.1429,3.9616,2188000.0,,2068000.0,,,-25584000.0,8668000.0,,8834000.0,,179000.0,,,,,,,,11869000.0,11875000.0,179000.0,19000.0,588000.0,,,,,,,,,,,,,569000.0,,,,0.0009,0.0337,0.0562,0.001,0.0532,3898000.0,4000.0,6573000.0,0.0014,15000.0,15314000.0
2,3,"А-СТАРТ, ООО",1125905005005.0,2012-06-06,5.5,,Действующая,5905292013.0,Пермский край,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,11264000.0,139000.0,0.4877,,0.3278,9285000.0,424000.0,181000.0,181000.0,,11212000.0,,11212000.0,,1617000.0,-27000.0,,2.2911,4.5823,-0.0024,344.8889,-4.7054,-418.1852,25.0506,79000.0,,79000.0,,,-37000.0,1979000.0,,9285000.0,,,,,,,,,,,,,40000.0,139000.0,,,,,,,,,,,,,99000.0,,,,0.0025,0.0125,0.4877,-0.6526,0.3278,285000.0,9000.0,,0.0731,31000.0,-27000.0
3,4,"А/С ДАУРИЯ, ПК",1027501156880.0,1993-01-21,25.0,,Действующая,7507000811.0,Забайкальский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,610228000.0,140343000.0,0.1132,1.6201,0.1017,317975000.0,1380526000.0,138279000.0,36695000.0,,101624000.0,715000.0,85714000.0,479000.0,113594000.0,457859000.0,,0.7231,3.5207,0.7503,0.3055,0.4786,0.3328,5.7592,50745000.0,,50266000.0,30106000.0,44000.0,457762000.0,292253000.0,21976000.0,310729000.0,6489000.0,160161000.0,,1792000.0,,,,6862000.0,,1365512000.0,1543737000.0,160161000.0,26714000.0,53719000.0,,,,,,,,6266000.0,22114000.0,6446000.0,,14033000.0,25413000.0,,,,0.0288,0.0955,0.0405,0.0394,0.0389,1240183000.0,3921000.0,86624000.0,0.0129,17771000.0,457859000.0
4,5,"А/С ЗАПАДНАЯ, ООО",1023800734462.0,1996-07-08,21.5,,Действующая,3802005383.0,Иркутская область,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,355000.0,201000.0,15.4615,1.1893,0.9393,251000.0,214000.0,31000.0,73000.0,,,,,,,344000.0,,6.6364,9.4545,0.969,0.2703,0.8942,0.032,9.4545,11000.0,,11000.0,,,-19169000.0,104000.0,,164000.0,,,,,,,,,,207000.0,207000.0,,17000.0,32000.0,,,,,,,,,,,,,15000.0,,,,0.0405,0.1641,0.1758,0.0415,0.1495,13000.0,,169000.0,0.0654,14000.0,344000.0
5,6,"А/С НИМАН, ООО",1032700160107.0,1994-08-01,23.5,,Действующая,2710006441.0,Хабаровский край,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,358619000.0,63321000.0,0.1102,2.4747,0.0993,127428000.0,637974000.0,89626000.0,3556000.0,,1236000.0,250000.0,,35000000.0,112445000.0,68004000.0,,0.0123,0.4103,0.1896,-0.8738,-0.257,4.2735,0.7989,289379000.0,,254379000.0,,2586000.0,63974000.0,231191000.0,,85602000.0,,194856000.0,,,,,,,,661900000.0,686580000.0,194856000.0,19020000.0,37734000.0,,,,,,,,,34257000.0,27749000.0,,29745000.0,14202000.0,,,,0.0395,0.13,0.0629,0.2261,0.0591,574653000.0,54000.0,25587000.0,0.0216,13812000.0,68004000.0
6,7,"А/С ЧУКОТКА, ООО",1038700020864.0,1994-11-23,23.0,,Действующая,8706004315.0,Чукотский автономный округ,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",,1351476000.0,28361000.0,0.0823,0.9193,0.0761,286528000.0,372891000.0,609814000.0,16050000.0,388291000.0,,1000000.0,,,285461000.0,1328999000.0,,0.9898,34.6793,0.9834,0.7844,0.9789,0.0169,47.3795,22477000.0,6197000.0,19201000.0,1170000.0,,939558000.0,1064948000.0,,285528000.0,,,,,760000.0,,,45332000.0,,441804000.0,443860000.0,,-3219000.0,-2490000.0,,,4584000.0,2144000.0,,,44572000.0,496000.0,,,,129316000.0,130541000.0,,,150000.0,-0.0085,-0.0021,-0.0066,-0.0088,-0.0067,344530000.0,8484000.0,30851000.0,-0.0314,-11705000.0,1328999000.0
7,8,"АБАГУРСКИЙ КАРЬЕР, ООО",1024201822468.0,1997-05-26,20.5,,Действующая,4219006843.0,Кемеровская область,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",,85109000.0,69789000.0,1.2099,2.0811,0.5475,15354000.0,127469000.0,22470000.0,7693000.0,427000.0,,,,,39280000.0,72488000.0,6960000.0,0.6095,2.4146,0.8517,0.7882,0.8191,0.1741,5.5269,12621000.0,,12621000.0,,,72051000.0,69755000.0,,14914000.0,,,,,,,,,,,,,28921000.0,36254000.0,,,,,,,,,,440000.0,,496000.0,7829000.0,,,,0.2839,0.4729,0.3975,0.3327,0.2844,57680000.0,7247000.0,26575000.0,0.17,21674000.0,72488000.0
8,9,"АБИТЕК, ООО",1087746242627.0,2008-02-19,10.0,,Действующая,7706683009.0,Москва,"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",,31560000.0,24542000.0,1.0092,1.0474,0.5023,11907000.0,48861000.0,8156000.0,43000.0,,,,,121000.0,15000.0,417000.0,,0.0014,0.6306,0.0132,-27.554,-0.5846,74.6835,0.6311,31143000.0,,31022000.0,,410000.0,317000.0,19653000.0,,11493000.0,,,,,,,,,,,,,28000.0,1110000.0,,,,,,,,,,4000.0,,13000.0,1095000.0,,,,,0.0553,0.0232,,0.0227,24319000.0,5000.0,23432000.0,,1000.0,417000.0
9,10,"АВА, ООО",1022601961557.0,1994-09-05,23.0,,Реорганизуется,2634041650.0,Ставропольский край,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",Находится в процессе реорганизации в форме выделения от 29.09.2017,34881000.0,30000.0,0.0033,,0.0032,14056000.0,9237000.0,5854000.0,16000.0,,5656000.0,,5656000.0,40000.0,14955000.0,-165000.0,,0.0005,0.1997,-0.0047,86.1879,-0.6829,-212.4,0.7086,29390000.0,,29350000.0,,,-180000.0,20825000.0,,14056000.0,,,,,,,,,,,,,-424000.0,30000.0,,,,,,,,,,,,,454000.0,,,,-0.0057,0.0009,0.0033,0.9,0.0032,9207000.0,6000.0,,-0.0195,-180000.0,-165000.0
