,Bankrupt,TA,GP,Sales,Cash,LT Debt,Inventories,Current liabilities,Retained earnings,Current assets,EBIT,Operating income,ROA,ROE,ROS,NI,WC
6761,,623859000,26058000,949395000,65512000.0,,22249000.0,638887000.0,-15038000.0,609289000,1537000.0,678000.0,-0.0003,0.009,-0.0001,-135000.0,-15028000.0
6762,,1063942000,174458000,3071462000,21130000.0,2938000.0,407458000.0,932160000.0,128834000.0,1007413000,56838000.0,25901000.0,0.0388,0.4008,0.014,43017000.0,128844000.0
6763,,35575000,4697000,37633000,815000.0,5564000.0,9613000.0,19906000.0,630000.0,31293000,3891000.0,4697000.0,,,0.0685,2577000.0,10105000.0
6764,,1456000,575000,575000,2000.0,910000.0,5000.0,39000.0,497000.0,1423000,231000.0,285000.0,0.1724,0.59,0.4017,231000.0,507000.0
6765,,21350000,446000,95080000,72000.0,,1060000.0,21225000.0,115000.0,20871000,413000.0,446000.0,0.0067,0.8456,0.0012,115000.0,125000.0
6766,,14095000,208000,729000,438000.0,,5058000.0,13222000.0,863000.0,14088000,,10000.0,,,,,873000.0
6767,,51167000,4458000,199189000,516000.0,13634000.0,21571000.0,26867000.0,2720000.0,47565000,1961000.0,4458000.0,0.0318,0.1588,0.0079,1569000.0,10666000.0
6768,,96610000,34711000,471512000,1131000.0,3515000.0,17532000.0,74808000.0,16191000.0,61127000,5209000.0,15818000.0,0.0353,0.2268,0.0079,3725000.0,18287000.0
6769,,46299000,1856000,1945000,5000.0,,1234000.0,43879000.0,2170000.0,45827000,28000.0,1450000.0,0.0002,0.0033,0.0041,8000.0,2420000.0
6770,,362339000,23696000,445824000,196930000.0,,73044000.0,331502000.0,30827000.0,361966000,23802000.0,23696000.0,0.0839,0.9303,0.0445,19861000.0,30837000.0
6771,,556000,19000,473000,26000.0,15315000.0,,1659000.0,-16428000.0,239000,-16428000.0,-712000.0,-2.0002,1.9376,-34.7315,-16428000.0,-16418000.0
6772,,3361288000,3173000,29279000,10620000.0,3165666000.0,114755000.0,193827000.0,-3907000.0,834356000,2365000.0,3173000.0,0.0004,0.901,0.0381,1115000.0,1795000.0
6773,,84331000,7527000,9604000,8000.0,41664000.0,4955000.0,56265000.0,-13608000.0,73993000,-81000.0,2389000.0,-0.0011,0.006,-0.0084,-81000.0,-13598000.0
6774,,551418000,105837000,1139082000,2619000.0,,94635000.0,123505000.0,427903000.0,516328000,113448000.0,105837000.0,0.1246,0.2373,0.0797,90759000.0,428213000.0
